2025-10-07 12:20:31.596 INFO: ===========VERIFYING SETTINGS===========
2025-10-07 12:20:31.598 INFO: MACE version: 0.3.14
2025-10-07 12:20:31.685 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 12:20:31.689 INFO: ===========LOADING INPUT DATA===========
2025-10-07 12:20:31.689 INFO: Using heads: ['Default']
2025-10-07 12:20:31.690 INFO: Using the key specifications to parse data:
2025-10-07 12:20:31.691 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-07 12:20:31.691 INFO: =============    Processing head Default     ===========
2025-10-07 12:20:35.347 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 12:20:35.350 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 12:20:38.566 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 12:20:38.568 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 12:20:42.037 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 12:20:42.041 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 12:20:42.041 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-07 12:20:42.049 INFO: Atomic Numbers used: [8, 72]
2025-10-07 12:20:42.050 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-07 12:20:42.051 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-07 12:20:42.052 INFO: Processing datasets for head 'Default'
2025-10-07 12:20:44.432 INFO: Combining 1 list datasets for head 'Default'
2025-10-07 12:20:45.084 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-07 12:20:45.085 INFO: Combined validation datasets for Default
2025-10-07 12:20:45.086 INFO: Head 'Default' training dataset size: 361
2025-10-07 12:20:45.087 INFO: Computing average number of neighbors
2025-10-07 12:20:45.616 INFO: Average number of neighbors: 59.42249876428343
2025-10-07 12:20:45.617 INFO: During training the following quantities will be reported: energy, forces
2025-10-07 12:20:45.618 INFO: ===========MODEL DETAILS===========
2025-10-07 12:20:45.897 INFO: Building model
2025-10-07 12:20:45.898 INFO: Message passing with 256 channels and max_L=1 (256x0e + 256x1o)
2025-10-07 12:20:45.899 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-07 12:20:45.900 INFO: 8 radial and 5 basis functions
2025-10-07 12:20:45.901 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-07 12:20:45.902 INFO: Distance transform for radial basis functions: None
2025-10-07 12:20:45.902 INFO: Hidden irreps: 256x0e + 256x1o
2025-10-07 12:20:47.602 INFO: Total number of parameters: 2276112
2025-10-07 12:20:47.603 INFO: 
2025-10-07 12:20:47.604 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-07 12:20:47.605 INFO: Using ADAM as parameter optimizer
2025-10-07 12:20:47.606 INFO: Batch size: 4
2025-10-07 12:20:47.606 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-07 12:20:47.607 INFO: Number of gradient updates: 22562
2025-10-07 12:20:47.608 INFO: Learning rate: 0.005, weight decay: 5e-07
2025-10-07 12:20:47.608 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-07 12:20:47.609 INFO: Converting model to CUEQ for accelerated training
2025-10-07 12:20:47.718 INFO: Creating new model with cuequivariance settings
2025-10-07 12:20:53.361 INFO: Stage Two (after 186 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-07 12:20:53.459 INFO: Using Weights and Biases for logging
2025-10-07 12:20:55.752 INFO: Using gradient clipping with tolerance=10.000
2025-10-07 12:20:55.753 INFO: 
2025-10-07 12:20:55.754 INFO: ===========TRAINING===========
2025-10-07 12:20:55.755 INFO: Started training, reporting errors on validation set
2025-10-07 12:20:55.756 INFO: Loss metrics on validation set
2025-10-07 12:21:55.624 INFO: Initial: head: Default, loss=18.01621703, RMSE_E_per_atom= 7278.61 meV, RMSE_F= 1128.96 meV / A
2025-10-07 12:25:49.418 INFO: Epoch 0: head: Default, loss=2.90780140, RMSE_E_per_atom= 1489.27 meV, RMSE_F=  517.34 meV / A
2025-10-07 12:27:18.449 INFO: Epoch 1: head: Default, loss=2.70347482, RMSE_E_per_atom=  884.79 meV, RMSE_F=  511.29 meV / A
2025-10-07 12:27:28.896 INFO: Epoch 2: head: Default, loss=1.53404262, RMSE_E_per_atom=  814.43 meV, RMSE_F=  382.32 meV / A
2025-10-07 12:27:39.362 INFO: Epoch 3: head: Default, loss=1.13929240, RMSE_E_per_atom=  593.87 meV, RMSE_F=  331.57 meV / A
2025-10-07 12:27:49.932 INFO: Epoch 4: head: Default, loss=0.94380555, RMSE_E_per_atom=  495.62 meV, RMSE_F=  302.34 meV / A
2025-10-07 12:28:00.458 INFO: Epoch 5: head: Default, loss=0.80599216, RMSE_E_per_atom=  358.90 meV, RMSE_F=  280.70 meV / A
2025-10-07 12:28:10.879 INFO: Epoch 6: head: Default, loss=0.72213054, RMSE_E_per_atom=  317.02 meV, RMSE_F=  265.84 meV / A
2025-10-07 12:28:21.215 INFO: Epoch 7: head: Default, loss=0.66230536, RMSE_E_per_atom=  274.78 meV, RMSE_F=  254.84 meV / A
2025-10-07 12:28:31.596 INFO: Epoch 8: head: Default, loss=0.61828487, RMSE_E_per_atom=  251.36 meV, RMSE_F=  246.44 meV / A
2025-10-07 12:28:41.916 INFO: Epoch 9: head: Default, loss=0.58335936, RMSE_E_per_atom=  214.75 meV, RMSE_F=  239.65 meV / A
2025-10-07 12:28:52.396 INFO: Epoch 10: head: Default, loss=0.55518197, RMSE_E_per_atom=  191.38 meV, RMSE_F=  234.08 meV / A
2025-10-07 12:29:01.816 INFO: Epoch 11: head: Default, loss=0.58050902, RMSE_E_per_atom=  196.70 meV, RMSE_F=  239.43 meV / A
2025-10-07 12:29:12.016 INFO: Epoch 12: head: Default, loss=0.52671709, RMSE_E_per_atom=  183.77 meV, RMSE_F=  227.93 meV / A
2025-10-07 12:29:22.408 INFO: Epoch 13: head: Default, loss=0.49652835, RMSE_E_per_atom=  145.18 meV, RMSE_F=  221.55 meV / A
2025-10-07 12:29:32.824 INFO: Epoch 14: head: Default, loss=0.47726385, RMSE_E_per_atom=  157.65 meV, RMSE_F=  216.97 meV / A
2025-10-07 12:29:43.324 INFO: Epoch 15: head: Default, loss=0.45890217, RMSE_E_per_atom=  149.75 meV, RMSE_F=  212.78 meV / A
2025-10-07 12:29:53.794 INFO: Epoch 16: head: Default, loss=0.43839238, RMSE_E_per_atom=  127.50 meV, RMSE_F=  208.03 meV / A
2025-10-07 12:30:04.269 INFO: Epoch 17: head: Default, loss=0.42650465, RMSE_E_per_atom=  128.51 meV, RMSE_F=  205.03 meV / A
2025-10-07 12:30:14.700 INFO: Epoch 18: head: Default, loss=0.41057037, RMSE_E_per_atom=  124.21 meV, RMSE_F=  201.25 meV / A
2025-10-07 12:30:25.204 INFO: Epoch 19: head: Default, loss=0.40214551, RMSE_E_per_atom=  115.18 meV, RMSE_F=  199.15 meV / A
2025-10-07 12:30:35.627 INFO: Epoch 20: head: Default, loss=0.38760445, RMSE_E_per_atom=  117.02 meV, RMSE_F=  195.39 meV / A
2025-10-07 12:30:45.025 INFO: Epoch 21: head: Default, loss=0.41079498, RMSE_E_per_atom=  114.18 meV, RMSE_F=  201.35 meV / A
2025-10-07 12:30:55.246 INFO: Epoch 22: head: Default, loss=0.37694529, RMSE_E_per_atom=  113.27 meV, RMSE_F=  192.68 meV / A
2025-10-07 12:31:05.628 INFO: Epoch 23: head: Default, loss=0.36517594, RMSE_E_per_atom=  103.35 meV, RMSE_F=  189.62 meV / A
2025-10-07 12:31:16.001 INFO: Epoch 24: head: Default, loss=0.35708625, RMSE_E_per_atom=   97.02 meV, RMSE_F=  187.50 meV / A
2025-10-07 12:31:26.426 INFO: Epoch 25: head: Default, loss=0.35434453, RMSE_E_per_atom=   96.30 meV, RMSE_F=  186.68 meV / A
2025-10-07 12:31:36.871 INFO: Epoch 26: head: Default, loss=0.34972587, RMSE_E_per_atom=  107.04 meV, RMSE_F=  185.46 meV / A
2025-10-07 12:31:47.260 INFO: Epoch 27: head: Default, loss=0.34343472, RMSE_E_per_atom=  112.85 meV, RMSE_F=  183.71 meV / A
2025-10-07 12:31:57.773 INFO: Epoch 28: head: Default, loss=0.33562871, RMSE_E_per_atom=  106.33 meV, RMSE_F=  181.67 meV / A
2025-10-07 12:32:08.284 INFO: Epoch 29: head: Default, loss=0.32792081, RMSE_E_per_atom=   92.64 meV, RMSE_F=  179.69 meV / A
2025-10-07 12:32:18.752 INFO: Epoch 30: head: Default, loss=0.32384737, RMSE_E_per_atom=   91.06 meV, RMSE_F=  178.52 meV / A
2025-10-07 12:32:28.205 INFO: Epoch 31: head: Default, loss=0.35778606, RMSE_E_per_atom=   94.64 meV, RMSE_F=  187.71 meV / A
2025-10-07 12:32:38.434 INFO: Epoch 32: head: Default, loss=0.32323937, RMSE_E_per_atom=   89.57 meV, RMSE_F=  178.33 meV / A
