2025-10-07 14:21:05.147 INFO: ===========VERIFYING SETTINGS===========
2025-10-07 14:21:05.150 INFO: MACE version: 0.3.14
2025-10-07 14:21:05.152 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 14:21:05.155 INFO: ===========LOADING INPUT DATA===========
2025-10-07 14:21:05.156 INFO: Using heads: ['Default']
2025-10-07 14:21:05.157 INFO: Using the key specifications to parse data:
2025-10-07 14:21:05.158 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-07 14:21:05.160 INFO: =============    Processing head Default     ===========
2025-10-07 14:21:05.447 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 14:21:05.451 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 14:21:05.539 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 14:21:05.541 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 14:21:05.836 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 14:21:05.840 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 14:21:05.841 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-07 14:21:05.849 INFO: Atomic Numbers used: [8, 72]
2025-10-07 14:21:05.850 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-07 14:21:05.851 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-07 14:21:05.852 INFO: Processing datasets for head 'Default'
2025-10-07 14:21:08.159 INFO: Combining 1 list datasets for head 'Default'
2025-10-07 14:21:08.793 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-07 14:21:08.794 INFO: Combined validation datasets for Default
2025-10-07 14:21:08.795 INFO: Head 'Default' training dataset size: 361
2025-10-07 14:21:08.797 INFO: Computing average number of neighbors
2025-10-07 14:21:08.986 INFO: Average number of neighbors: 59.332753814334104
2025-10-07 14:21:08.988 INFO: During training the following quantities will be reported: energy, forces
2025-10-07 14:21:08.989 INFO: ===========MODEL DETAILS===========
2025-10-07 14:21:09.134 INFO: Building model
2025-10-07 14:21:09.136 INFO: Message passing with 256 channels and max_L=0 (256x0e)
2025-10-07 14:21:09.137 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-07 14:21:09.138 INFO: 8 radial and 5 basis functions
2025-10-07 14:21:09.139 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-07 14:21:09.140 INFO: Distance transform for radial basis functions: None
2025-10-07 14:21:09.142 INFO: Hidden irreps: 256x0e
2025-10-07 14:21:10.329 INFO: Total number of parameters: 1623824
2025-10-07 14:21:10.331 INFO: 
2025-10-07 14:21:10.332 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-07 14:21:10.333 INFO: Using ADAM as parameter optimizer
2025-10-07 14:21:10.334 INFO: Batch size: 14
2025-10-07 14:21:10.335 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-07 14:21:10.337 INFO: Number of gradient updates: 6446
2025-10-07 14:21:10.338 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-10-07 14:21:10.339 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-07 14:21:10.340 INFO: Converting model to CUEQ for accelerated training
2025-10-07 14:21:10.434 INFO: Creating new model with cuequivariance settings
2025-10-07 14:21:10.875 INFO: Stage Two (after 186 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-07 14:21:10.939 INFO: Using Weights and Biases for logging
2025-10-07 14:21:14.316 INFO: Using gradient clipping with tolerance=10.000
2025-10-07 14:21:14.317 INFO: 
2025-10-07 14:21:14.318 INFO: ===========TRAINING===========
2025-10-07 14:21:14.320 INFO: Started training, reporting errors on validation set
2025-10-07 14:21:14.321 INFO: Loss metrics on validation set
2025-10-07 14:21:14.846 INFO: Initial: head: Default, loss=17.99449007, RMSE_E_per_atom= 7276.47 meV, RMSE_F= 1128.12 meV / A
2025-10-07 14:21:19.358 INFO: Epoch 0: head: Default, loss=7.92090319, RMSE_E_per_atom= 4936.65 meV, RMSE_F=  738.60 meV / A
2025-10-07 14:21:23.287 INFO: Epoch 1: head: Default, loss=7.54504245, RMSE_E_per_atom= 4690.02 meV, RMSE_F=  728.97 meV / A
2025-10-07 14:21:27.649 INFO: Epoch 2: head: Default, loss=3.77302215, RMSE_E_per_atom= 2455.01 meV, RMSE_F=  559.75 meV / A
2025-10-07 14:21:32.003 INFO: Epoch 3: head: Default, loss=2.03370114, RMSE_E_per_atom=  996.53 meV, RMSE_F=  437.23 meV / A
2025-10-07 14:21:36.352 INFO: Epoch 4: head: Default, loss=1.61248063, RMSE_E_per_atom=  841.44 meV, RMSE_F=  390.69 meV / A
2025-10-07 14:21:40.682 INFO: Epoch 5: head: Default, loss=1.33916304, RMSE_E_per_atom=  578.75 meV, RMSE_F=  359.61 meV / A
2025-10-07 14:21:45.027 INFO: Epoch 6: head: Default, loss=1.18138820, RMSE_E_per_atom=  517.12 meV, RMSE_F=  337.80 meV / A
2025-10-07 14:21:49.319 INFO: Epoch 7: head: Default, loss=1.05015317, RMSE_E_per_atom=  432.90 meV, RMSE_F=  319.40 meV / A
2025-10-07 14:21:53.654 INFO: Epoch 8: head: Default, loss=0.96175627, RMSE_E_per_atom=  452.84 meV, RMSE_F=  305.40 meV / A
2025-10-07 14:21:57.985 INFO: Epoch 9: head: Default, loss=0.88288783, RMSE_E_per_atom=  414.21 meV, RMSE_F=  293.12 meV / A
2025-10-07 14:22:02.295 INFO: Epoch 10: head: Default, loss=0.81088590, RMSE_E_per_atom=  368.70 meV, RMSE_F=  281.20 meV / A
2025-10-07 14:22:06.444 INFO: Epoch 11: head: Default, loss=0.78469113, RMSE_E_per_atom=  312.22 meV, RMSE_F=  277.15 meV / A
2025-10-07 14:22:10.796 INFO: Epoch 12: head: Default, loss=0.74184187, RMSE_E_per_atom=  313.56 meV, RMSE_F=  269.34 meV / A
2025-10-07 14:22:15.122 INFO: Epoch 13: head: Default, loss=0.70253800, RMSE_E_per_atom=  262.63 meV, RMSE_F=  262.58 meV / A
2025-10-07 14:22:19.687 INFO: Epoch 14: head: Default, loss=0.68308821, RMSE_E_per_atom=  274.97 meV, RMSE_F=  258.77 meV / A
2025-10-07 14:22:24.031 INFO: Epoch 15: head: Default, loss=0.66694446, RMSE_E_per_atom=  277.53 meV, RMSE_F=  255.63 meV / A
2025-10-07 14:22:28.367 INFO: Epoch 16: head: Default, loss=0.64298954, RMSE_E_per_atom=  236.88 meV, RMSE_F=  251.36 meV / A
2025-10-07 14:22:32.746 INFO: Epoch 17: head: Default, loss=0.61850531, RMSE_E_per_atom=  221.25 meV, RMSE_F=  246.53 meV / A
2025-10-07 14:22:37.106 INFO: Epoch 18: head: Default, loss=0.61034102, RMSE_E_per_atom=  220.25 meV, RMSE_F=  244.89 meV / A
2025-10-07 14:22:41.442 INFO: Epoch 19: head: Default, loss=0.58807159, RMSE_E_per_atom=  202.62 meV, RMSE_F=  240.38 meV / A
2025-10-07 14:22:45.770 INFO: Epoch 20: head: Default, loss=0.57204435, RMSE_E_per_atom=  184.62 meV, RMSE_F=  237.13 meV / A
2025-10-07 14:22:49.692 INFO: Epoch 21: head: Default, loss=0.57121321, RMSE_E_per_atom=  160.36 meV, RMSE_F=  237.14 meV / A
2025-10-07 14:22:54.036 INFO: Epoch 22: head: Default, loss=0.54861044, RMSE_E_per_atom=  154.30 meV, RMSE_F=  232.32 meV / A
2025-10-07 14:22:58.379 INFO: Epoch 23: head: Default, loss=0.52826996, RMSE_E_per_atom=  146.25 meV, RMSE_F=  227.97 meV / A
2025-10-07 14:23:02.751 INFO: Epoch 24: head: Default, loss=0.51243375, RMSE_E_per_atom=  142.39 meV, RMSE_F=  224.57 meV / A
2025-10-07 14:23:07.086 INFO: Epoch 25: head: Default, loss=0.50064055, RMSE_E_per_atom=  139.17 meV, RMSE_F=  221.94 meV / A
2025-10-07 14:23:11.422 INFO: Epoch 26: head: Default, loss=0.48777531, RMSE_E_per_atom=  143.35 meV, RMSE_F=  219.01 meV / A
2025-10-07 14:23:15.749 INFO: Epoch 27: head: Default, loss=0.47411312, RMSE_E_per_atom=  141.22 meV, RMSE_F=  215.91 meV / A
2025-10-07 14:23:20.094 INFO: Epoch 28: head: Default, loss=0.45921577, RMSE_E_per_atom=  136.03 meV, RMSE_F=  212.50 meV / A
2025-10-07 14:23:24.406 INFO: Epoch 29: head: Default, loss=0.44588136, RMSE_E_per_atom=  131.05 meV, RMSE_F=  209.41 meV / A
2025-10-07 14:23:28.748 INFO: Epoch 30: head: Default, loss=0.43286681, RMSE_E_per_atom=  126.83 meV, RMSE_F=  206.34 meV / A
2025-10-07 14:23:32.724 INFO: Epoch 31: head: Default, loss=0.42787318, RMSE_E_per_atom=  124.00 meV, RMSE_F=  205.13 meV / A
2025-10-07 14:23:37.007 INFO: Epoch 32: head: Default, loss=0.41705315, RMSE_E_per_atom=  122.01 meV, RMSE_F=  202.54 meV / A
