2025-10-07 18:58:21.051 INFO: ===========VERIFYING SETTINGS===========
2025-10-07 18:58:21.053 INFO: MACE version: 0.3.14
2025-10-07 18:58:21.145 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 18:58:21.149 INFO: ===========LOADING INPUT DATA===========
2025-10-07 18:58:21.150 INFO: Using heads: ['Default']
2025-10-07 18:58:21.151 INFO: Using the key specifications to parse data:
2025-10-07 18:58:21.151 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-07 18:58:21.152 INFO: =============    Processing head Default     ===========
2025-10-07 18:58:22.745 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 18:58:22.748 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 18:58:24.137 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 18:58:24.139 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 18:58:25.388 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 18:58:25.392 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 18:58:25.392 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-07 18:58:25.400 INFO: Atomic Numbers used: [8, 72]
2025-10-07 18:58:25.401 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-07 18:58:25.401 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-07 18:58:25.402 INFO: Processing datasets for head 'Default'
2025-10-07 18:58:27.781 INFO: Combining 1 list datasets for head 'Default'
2025-10-07 18:58:28.424 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-07 18:58:28.425 INFO: Combined validation datasets for Default
2025-10-07 18:58:28.426 INFO: Head 'Default' training dataset size: 361
2025-10-07 18:58:28.427 INFO: Computing average number of neighbors
2025-10-07 18:58:28.784 INFO: Average number of neighbors: 59.332753814334104
2025-10-07 18:58:28.785 INFO: During training the following quantities will be reported: energy, forces
2025-10-07 18:58:28.786 INFO: ===========MODEL DETAILS===========
2025-10-07 18:58:28.959 INFO: Building model
2025-10-07 18:58:28.960 INFO: Message passing with 256 channels and max_L=0 (256x0e)
2025-10-07 18:58:28.962 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-07 18:58:28.963 INFO: 8 radial and 5 basis functions
2025-10-07 18:58:28.964 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-07 18:58:28.964 INFO: Distance transform for radial basis functions: None
2025-10-07 18:58:28.965 INFO: Hidden irreps: 256x0e
2025-10-07 18:58:30.281 INFO: Total number of parameters: 1623824
2025-10-07 18:58:30.282 INFO: 
2025-10-07 18:58:30.283 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-07 18:58:30.284 INFO: Using ADAMW as parameter optimizer
2025-10-07 18:58:30.285 INFO: Batch size: 14
2025-10-07 18:58:30.285 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-07 18:58:30.286 INFO: Number of gradient updates: 6446
2025-10-07 18:58:30.287 INFO: Learning rate: 0.003, weight decay: 0.005
2025-10-07 18:58:30.288 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-07 18:58:30.289 INFO: Converting model to CUEQ for accelerated training
2025-10-07 18:58:30.382 INFO: Creating new model with cuequivariance settings
2025-10-07 18:58:34.073 INFO: Stage Two (after 186 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-07 18:58:34.143 INFO: Using Weights and Biases for logging
2025-10-07 18:58:35.529 INFO: Using gradient clipping with tolerance=10.000
2025-10-07 18:58:35.531 INFO: 
2025-10-07 18:58:35.532 INFO: ===========TRAINING===========
2025-10-07 18:58:35.533 INFO: Started training, reporting errors on validation set
2025-10-07 18:58:35.534 INFO: Loss metrics on validation set
2025-10-07 18:59:00.187 INFO: Initial: head: Default, loss=17.99449007, RMSE_E_per_atom= 7276.47 meV, RMSE_F= 1128.12 meV / A
2025-10-07 18:59:42.472 INFO: Epoch 0: head: Default, loss=13.98497667, RMSE_E_per_atom= 6609.53 meV, RMSE_F=  983.49 meV / A
2025-10-07 19:00:02.308 INFO: Epoch 1: head: Default, loss=13.57692886, RMSE_E_per_atom= 6463.98 meV, RMSE_F=  972.42 meV / A
2025-10-07 19:00:06.522 INFO: Epoch 2: head: Default, loss=9.58894460, RMSE_E_per_atom= 5660.22 meV, RMSE_F=  798.51 meV / A
2025-10-07 19:00:10.782 INFO: Epoch 3: head: Default, loss=6.23330667, RMSE_E_per_atom= 3857.48 meV, RMSE_F=  686.23 meV / A
2025-10-07 19:00:15.724 INFO: Epoch 4: head: Default, loss=3.95371591, RMSE_E_per_atom= 2305.74 meV, RMSE_F=  581.98 meV / A
2025-10-07 19:00:19.959 INFO: Epoch 5: head: Default, loss=2.78697485, RMSE_E_per_atom= 1468.21 meV, RMSE_F=  504.36 meV / A
2025-10-07 19:00:24.210 INFO: Epoch 6: head: Default, loss=2.06619191, RMSE_E_per_atom=  926.37 meV, RMSE_F=  442.37 meV / A
2025-10-07 19:00:28.496 INFO: Epoch 7: head: Default, loss=1.73157522, RMSE_E_per_atom=  716.96 meV, RMSE_F=  407.26 meV / A
2025-10-07 19:00:32.744 INFO: Epoch 8: head: Default, loss=1.51036424, RMSE_E_per_atom=  630.94 meV, RMSE_F=  381.03 meV / A
2025-10-07 19:00:36.995 INFO: Epoch 9: head: Default, loss=1.34233229, RMSE_E_per_atom=  555.31 meV, RMSE_F=  360.12 meV / A
2025-10-07 19:00:41.230 INFO: Epoch 10: head: Default, loss=1.23662924, RMSE_E_per_atom=  501.99 meV, RMSE_F=  346.11 meV / A
2025-10-07 19:00:45.095 INFO: Epoch 11: head: Default, loss=1.18441694, RMSE_E_per_atom=  460.40 meV, RMSE_F=  339.27 meV / A
2025-10-07 19:00:49.376 INFO: Epoch 12: head: Default, loss=1.13596980, RMSE_E_per_atom=  439.62 meV, RMSE_F=  332.44 meV / A
2025-10-07 19:00:53.657 INFO: Epoch 13: head: Default, loss=1.08345619, RMSE_E_per_atom=  407.83 meV, RMSE_F=  324.99 meV / A
2025-10-07 19:00:58.678 INFO: Epoch 14: head: Default, loss=1.03515146, RMSE_E_per_atom=  377.39 meV, RMSE_F=  317.91 meV / A
2025-10-07 19:01:03.035 INFO: Epoch 15: head: Default, loss=0.99010961, RMSE_E_per_atom=  336.25 meV, RMSE_F=  311.32 meV / A
2025-10-07 19:01:07.345 INFO: Epoch 16: head: Default, loss=0.94343873, RMSE_E_per_atom=  309.77 meV, RMSE_F=  304.20 meV / A
2025-10-07 19:01:11.614 INFO: Epoch 17: head: Default, loss=0.89839538, RMSE_E_per_atom=  279.65 meV, RMSE_F=  297.12 meV / A
2025-10-07 19:01:15.928 INFO: Epoch 18: head: Default, loss=0.86170845, RMSE_E_per_atom=  264.55 meV, RMSE_F=  291.15 meV / A
2025-10-07 19:01:20.192 INFO: Epoch 19: head: Default, loss=0.82538553, RMSE_E_per_atom=  249.73 meV, RMSE_F=  285.04 meV / A
2025-10-07 19:01:24.489 INFO: Epoch 20: head: Default, loss=0.79366867, RMSE_E_per_atom=  237.71 meV, RMSE_F=  279.58 meV / A
2025-10-07 19:01:28.379 INFO: Epoch 21: head: Default, loss=0.77482911, RMSE_E_per_atom=  223.98 meV, RMSE_F=  276.33 meV / A
2025-10-07 19:01:32.630 INFO: Epoch 22: head: Default, loss=0.75350498, RMSE_E_per_atom=  215.42 meV, RMSE_F=  272.55 meV / A
2025-10-07 19:01:36.859 INFO: Epoch 23: head: Default, loss=0.73307002, RMSE_E_per_atom=  206.00 meV, RMSE_F=  268.85 meV / A
2025-10-07 19:01:41.154 INFO: Epoch 24: head: Default, loss=0.71308860, RMSE_E_per_atom=  202.59 meV, RMSE_F=  265.19 meV / A
2025-10-07 19:01:45.406 INFO: Epoch 25: head: Default, loss=0.69649750, RMSE_E_per_atom=  201.05 meV, RMSE_F=  262.06 meV / A
2025-10-07 19:01:49.750 INFO: Epoch 26: head: Default, loss=0.68021470, RMSE_E_per_atom=  193.36 meV, RMSE_F=  259.05 meV / A
2025-10-07 19:01:54.080 INFO: Epoch 27: head: Default, loss=0.66309327, RMSE_E_per_atom=  191.17 meV, RMSE_F=  255.74 meV / A
2025-10-07 19:01:58.369 INFO: Epoch 28: head: Default, loss=0.64780382, RMSE_E_per_atom=  188.62 meV, RMSE_F=  252.78 meV / A
2025-10-07 19:02:02.685 INFO: Epoch 29: head: Default, loss=0.63173515, RMSE_E_per_atom=  185.52 meV, RMSE_F=  249.60 meV / A
2025-10-07 19:02:06.984 INFO: Epoch 30: head: Default, loss=0.61772153, RMSE_E_per_atom=  182.11 meV, RMSE_F=  246.83 meV / A
2025-10-07 19:02:10.899 INFO: Epoch 31: head: Default, loss=0.61225364, RMSE_E_per_atom=  187.25 meV, RMSE_F=  245.72 meV / A
2025-10-07 19:02:15.163 INFO: Epoch 32: head: Default, loss=0.60011291, RMSE_E_per_atom=  184.81 meV, RMSE_F=  243.24 meV / A
