2025-10-14 16:18:06.012 INFO: ===========VERIFYING SETTINGS===========
2025-10-14 16:18:06.028 INFO: Stage Two is activated as start_stage_two was defined
2025-10-14 16:18:06.030 INFO: MACE version: 0.3.14
2025-10-14 16:18:06.032 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-14 16:18:06.036 INFO: Using foundation model mace-mp-0 small as initial checkpoint.
2025-10-14 16:18:06.196 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-14 16:18:06.202 INFO: ===========LOADING INPUT DATA===========
2025-10-14 16:18:06.203 INFO: Using heads: ['Default']
2025-10-14 16:18:06.205 INFO: Using the key specifications to parse data:
2025-10-14 16:18:06.206 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-14 16:18:06.207 INFO: =============    Processing head Default     ===========
2025-10-14 16:18:06.503 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-14 16:18:06.507 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-14 16:18:06.600 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-14 16:18:06.602 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-14 16:18:06.912 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-14 16:18:06.917 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-14 16:18:06.918 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-14 16:18:06.927 INFO: Atomic Numbers used: [8, 72]
2025-10-14 16:18:06.929 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-14 16:18:06.930 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-14 16:18:06.931 INFO: Processing datasets for head 'Default'
2025-10-14 16:18:09.497 INFO: Combining 1 list datasets for head 'Default'
2025-10-14 16:18:10.194 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-14 16:18:10.196 INFO: Combined validation datasets for Default
2025-10-14 16:18:10.198 INFO: Head 'Default' training dataset size: 361
2025-10-14 16:18:10.200 INFO: Computing average number of neighbors
2025-10-14 16:18:10.419 INFO: Average number of neighbors: 59.332753814334104
2025-10-14 16:18:10.421 INFO: During training the following quantities will be reported: energy, forces
2025-10-14 16:18:10.422 INFO: ===========MODEL DETAILS===========
2025-10-14 16:18:10.605 INFO: Loading FOUNDATION model
2025-10-14 16:18:10.608 INFO: Using filtered elements: [8, 72]
2025-10-14 16:18:10.610 INFO: Model configuration extracted from foundation model
2025-10-14 16:18:10.611 INFO: Using weighted loss function for fine-tuning
2025-10-14 16:18:10.612 INFO: Message passing with hidden irreps 128x0e)
2025-10-14 16:18:10.614 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-14 16:18:10.616 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-14 16:18:10.617 INFO: Distance transform for radial basis functions: None
2025-10-14 16:18:11.805 INFO: Total number of parameters: 362138
2025-10-14 16:18:11.807 INFO: 
2025-10-14 16:18:11.808 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-14 16:18:11.809 INFO: Using ADAM as parameter optimizer
2025-10-14 16:18:11.810 INFO: Batch size: 14
2025-10-14 16:18:11.812 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-14 16:18:11.813 INFO: Number of gradient updates: 7735
2025-10-14 16:18:11.814 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-10-14 16:18:11.815 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-14 16:18:11.817 INFO: Converting model to CUEQ for accelerated training
2025-10-14 16:18:11.918 INFO: Creating new model with cuequivariance settings
2025-10-14 16:18:12.324 INFO: Stage Two (after 180 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-14 16:18:12.397 INFO: Using Weights and Biases for logging
2025-10-14 16:18:14.026 INFO: Using gradient clipping with tolerance=10.000
2025-10-14 16:18:14.027 INFO: 
2025-10-14 16:18:14.029 INFO: ===========TRAINING===========
2025-10-14 16:18:14.030 INFO: Started training, reporting errors on validation set
2025-10-14 16:18:14.032 INFO: Loss metrics on validation set
2025-10-14 16:18:14.495 INFO: Initial: head: Default, loss=7.52737403, RMSE_E_per_atom= 7885.95 meV, RMSE_F=  361.32 meV / A
2025-10-14 16:18:17.498 INFO: Epoch 0: head: Default, loss=1.28488218, RMSE_E_per_atom= 1635.27 meV, RMSE_F=  317.88 meV / A
2025-10-14 16:18:20.360 INFO: Epoch 1: head: Default, loss=1.45465224, RMSE_E_per_atom= 1456.16 meV, RMSE_F=  351.50 meV / A
2025-10-14 16:18:23.340 INFO: Epoch 2: head: Default, loss=0.72748455, RMSE_E_per_atom=  584.34 meV, RMSE_F=  262.47 meV / A
2025-10-14 16:18:26.390 INFO: Epoch 3: head: Default, loss=0.63526332, RMSE_E_per_atom=  359.74 meV, RMSE_F=  248.49 meV / A
2025-10-14 16:18:29.447 INFO: Epoch 4: head: Default, loss=0.55096472, RMSE_E_per_atom=  356.75 meV, RMSE_F=  230.84 meV / A
2025-10-14 16:18:32.517 INFO: Epoch 5: head: Default, loss=0.53712892, RMSE_E_per_atom=  254.23 meV, RMSE_F=  229.19 meV / A
2025-10-14 16:18:35.638 INFO: Epoch 6: head: Default, loss=0.50195096, RMSE_E_per_atom=  229.43 meV, RMSE_F=  221.60 meV / A
2025-10-14 16:18:38.708 INFO: Epoch 7: head: Default, loss=0.48278291, RMSE_E_per_atom=  181.99 meV, RMSE_F=  217.75 meV / A
2025-10-14 16:18:41.736 INFO: Epoch 8: head: Default, loss=0.45602381, RMSE_E_per_atom=  157.34 meV, RMSE_F=  211.72 meV / A
2025-10-14 16:18:44.738 INFO: Epoch 9: head: Default, loss=0.44279090, RMSE_E_per_atom=  167.47 meV, RMSE_F=  208.54 meV / A
2025-10-14 16:18:47.827 INFO: Epoch 10: head: Default, loss=0.43837388, RMSE_E_per_atom=  150.81 meV, RMSE_F=  207.57 meV / A
2025-10-14 16:18:50.726 INFO: Epoch 11: head: Default, loss=0.46591748, RMSE_E_per_atom=  229.67 meV, RMSE_F=  213.23 meV / A
2025-10-14 16:18:53.693 INFO: Epoch 12: head: Default, loss=0.42652914, RMSE_E_per_atom=  175.70 meV, RMSE_F=  204.45 meV / A
2025-10-14 16:18:56.742 INFO: Epoch 13: head: Default, loss=0.40286184, RMSE_E_per_atom=  116.05 meV, RMSE_F=  199.14 meV / A
2025-10-14 16:18:59.830 INFO: Epoch 14: head: Default, loss=0.38707762, RMSE_E_per_atom=  109.03 meV, RMSE_F=  195.25 meV / A
2025-10-14 16:19:02.899 INFO: Epoch 15: head: Default, loss=0.37604048, RMSE_E_per_atom=  112.73 meV, RMSE_F=  192.47 meV / A
2025-10-14 16:19:05.943 INFO: Epoch 16: head: Default, loss=0.36503966, RMSE_E_per_atom=  103.44 meV, RMSE_F=  189.70 meV / A
2025-10-14 16:19:09.029 INFO: Epoch 17: head: Default, loss=0.36166824, RMSE_E_per_atom=  103.23 meV, RMSE_F=  188.80 meV / A
2025-10-14 16:19:12.080 INFO: Epoch 18: head: Default, loss=0.36468182, RMSE_E_per_atom=  107.65 meV, RMSE_F=  189.57 meV / A
2025-10-14 16:19:15.048 INFO: Epoch 19: head: Default, loss=0.35976356, RMSE_E_per_atom=  123.36 meV, RMSE_F=  188.14 meV / A
2025-10-14 16:19:18.052 INFO: Epoch 20: head: Default, loss=0.35456554, RMSE_E_per_atom=  106.97 meV, RMSE_F=  186.84 meV / A
2025-10-14 16:19:21.260 INFO: Epoch 21: head: Default, loss=0.36536228, RMSE_E_per_atom=   92.34 meV, RMSE_F=  189.84 meV / A
2025-10-14 16:19:24.225 INFO: Epoch 22: head: Default, loss=0.35035839, RMSE_E_per_atom=   88.61 meV, RMSE_F=  185.89 meV / A
2025-10-14 16:19:27.314 INFO: Epoch 23: head: Default, loss=0.33664520, RMSE_E_per_atom=   88.29 meV, RMSE_F=  182.17 meV / A
2025-10-14 16:19:30.331 INFO: Epoch 24: head: Default, loss=0.32794499, RMSE_E_per_atom=   85.36 meV, RMSE_F=  179.78 meV / A
2025-10-14 16:19:33.327 INFO: Epoch 25: head: Default, loss=0.32492097, RMSE_E_per_atom=   82.53 meV, RMSE_F=  178.98 meV / A
2025-10-14 16:19:36.318 INFO: Epoch 26: head: Default, loss=0.32010623, RMSE_E_per_atom=   88.46 meV, RMSE_F=  177.59 meV / A
2025-10-14 16:19:39.343 INFO: Epoch 27: head: Default, loss=0.31330835, RMSE_E_per_atom=   82.93 meV, RMSE_F=  175.71 meV / A
2025-10-14 16:19:42.380 INFO: Epoch 28: head: Default, loss=0.30973264, RMSE_E_per_atom=   79.38 meV, RMSE_F=  174.73 meV / A
2025-10-14 16:19:45.411 INFO: Epoch 29: head: Default, loss=0.30867157, RMSE_E_per_atom=   75.17 meV, RMSE_F=  174.44 meV / A
2025-10-14 16:19:48.410 INFO: Epoch 30: head: Default, loss=0.30479035, RMSE_E_per_atom=   73.64 meV, RMSE_F=  173.34 meV / A
2025-10-14 16:19:51.307 INFO: Epoch 31: head: Default, loss=0.30741482, RMSE_E_per_atom=   77.48 meV, RMSE_F=  174.07 meV / A
2025-10-14 16:19:54.271 INFO: Epoch 32: head: Default, loss=0.30157354, RMSE_E_per_atom=   78.70 meV, RMSE_F=  172.42 meV / A
2025-10-14 16:19:57.302 INFO: Epoch 33: head: Default, loss=0.30030059, RMSE_E_per_atom=   79.09 meV, RMSE_F=  172.02 meV / A
2025-10-14 16:20:00.319 INFO: Epoch 34: head: Default, loss=0.29850346, RMSE_E_per_atom=   78.85 meV, RMSE_F=  171.50 meV / A
2025-10-14 16:20:03.357 INFO: Epoch 35: head: Default, loss=0.29626192, RMSE_E_per_atom=   85.35 meV, RMSE_F=  170.84 meV / A
2025-10-14 16:20:06.407 INFO: Epoch 36: head: Default, loss=0.29331886, RMSE_E_per_atom=   81.91 meV, RMSE_F=  169.99 meV / A
2025-10-14 16:20:09.437 INFO: Epoch 37: head: Default, loss=0.29147171, RMSE_E_per_atom=   79.00 meV, RMSE_F=  169.45 meV / A
2025-10-14 16:20:12.497 INFO: Epoch 38: head: Default, loss=0.28700678, RMSE_E_per_atom=   73.28 meV, RMSE_F=  168.19 meV / A
2025-10-14 16:20:15.603 INFO: Epoch 39: head: Default, loss=0.28360225, RMSE_E_per_atom=   67.46 meV, RMSE_F=  167.20 meV / A
2025-10-14 16:20:18.669 INFO: Epoch 40: head: Default, loss=0.27955461, RMSE_E_per_atom=   68.62 meV, RMSE_F=  166.00 meV / A
2025-10-14 16:20:21.579 INFO: Epoch 41: head: Default, loss=0.28234675, RMSE_E_per_atom=   70.05 meV, RMSE_F=  166.83 meV / A
2025-10-14 16:20:24.544 INFO: Epoch 42: head: Default, loss=0.27933704, RMSE_E_per_atom=   73.98 meV, RMSE_F=  165.93 meV / A
2025-10-14 16:20:27.606 INFO: Epoch 43: head: Default, loss=0.27758128, RMSE_E_per_atom=   72.79 meV, RMSE_F=  165.40 meV / A
2025-10-14 16:20:30.709 INFO: Epoch 44: head: Default, loss=0.27739037, RMSE_E_per_atom=   78.56 meV, RMSE_F=  165.32 meV / A
2025-10-14 16:20:33.742 INFO: Epoch 45: head: Default, loss=0.27526883, RMSE_E_per_atom=   78.72 meV, RMSE_F=  164.65 meV / A
2025-10-14 16:20:36.753 INFO: Epoch 46: head: Default, loss=0.27227521, RMSE_E_per_atom=   76.30 meV, RMSE_F=  163.77 meV / A
2025-10-14 16:20:39.785 INFO: Epoch 47: head: Default, loss=0.26861088, RMSE_E_per_atom=   74.14 meV, RMSE_F=  162.69 meV / A
2025-10-14 16:20:42.920 INFO: Epoch 48: head: Default, loss=0.26384798, RMSE_E_per_atom=   72.10 meV, RMSE_F=  161.23 meV / A
2025-10-14 16:20:45.934 INFO: Epoch 49: head: Default, loss=0.26204666, RMSE_E_per_atom=   73.10 meV, RMSE_F=  160.67 meV / A
2025-10-14 16:20:48.960 INFO: Epoch 50: head: Default, loss=0.26292870, RMSE_E_per_atom=   67.36 meV, RMSE_F=  160.95 meV / A
2025-10-14 16:20:51.755 INFO: Epoch 51: head: Default, loss=0.27020337, RMSE_E_per_atom=   61.04 meV, RMSE_F=  163.17 meV / A
2025-10-14 16:20:54.792 INFO: Epoch 52: head: Default, loss=0.26854203, RMSE_E_per_atom=   65.73 meV, RMSE_F=  162.66 meV / A
2025-10-14 16:20:57.790 INFO: Epoch 53: head: Default, loss=0.26173321, RMSE_E_per_atom=   60.11 meV, RMSE_F=  160.61 meV / A
2025-10-14 16:21:00.828 INFO: Epoch 54: head: Default, loss=0.26074765, RMSE_E_per_atom=   59.75 meV, RMSE_F=  160.31 meV / A
2025-10-14 16:21:03.848 INFO: Epoch 55: head: Default, loss=0.25946348, RMSE_E_per_atom=   61.06 meV, RMSE_F=  159.91 meV / A
2025-10-14 16:21:07.385 INFO: Epoch 56: head: Default, loss=0.26087811, RMSE_E_per_atom=   58.43 meV, RMSE_F=  160.35 meV / A
2025-10-14 16:21:10.436 INFO: Epoch 57: head: Default, loss=0.25939407, RMSE_E_per_atom=   59.18 meV, RMSE_F=  159.88 meV / A
2025-10-14 16:21:13.530 INFO: Epoch 58: head: Default, loss=0.25755146, RMSE_E_per_atom=   56.79 meV, RMSE_F=  159.31 meV / A
2025-10-14 16:21:16.584 INFO: Epoch 59: head: Default, loss=0.25429458, RMSE_E_per_atom=   57.29 meV, RMSE_F=  158.31 meV / A
2025-10-14 16:21:19.633 INFO: Epoch 60: head: Default, loss=0.25012797, RMSE_E_per_atom=   52.82 meV, RMSE_F=  157.02 meV / A
2025-10-14 16:21:22.583 INFO: Epoch 61: head: Default, loss=0.24829670, RMSE_E_per_atom=   59.87 meV, RMSE_F=  156.43 meV / A
2025-10-14 16:21:25.618 INFO: Epoch 62: head: Default, loss=0.24457486, RMSE_E_per_atom=   60.05 meV, RMSE_F=  155.26 meV / A
2025-10-14 16:21:28.678 INFO: Epoch 63: head: Default, loss=0.24337368, RMSE_E_per_atom=   60.27 meV, RMSE_F=  154.88 meV / A
2025-10-14 16:21:31.747 INFO: Epoch 64: head: Default, loss=0.24555100, RMSE_E_per_atom=   56.50 meV, RMSE_F=  155.59 meV / A
2025-10-14 16:21:34.785 INFO: Epoch 65: head: Default, loss=0.24263329, RMSE_E_per_atom=   54.14 meV, RMSE_F=  154.67 meV / A
2025-10-14 16:21:37.840 INFO: Epoch 66: head: Default, loss=0.23971106, RMSE_E_per_atom=   53.46 meV, RMSE_F=  153.74 meV / A
2025-10-14 16:21:40.963 INFO: Epoch 67: head: Default, loss=0.23767340, RMSE_E_per_atom=   51.26 meV, RMSE_F=  153.09 meV / A
2025-10-14 16:21:44.058 INFO: Epoch 68: head: Default, loss=0.23506890, RMSE_E_per_atom=   48.93 meV, RMSE_F=  152.26 meV / A
2025-10-14 16:21:47.151 INFO: Epoch 69: head: Default, loss=0.23240158, RMSE_E_per_atom=   47.45 meV, RMSE_F=  151.41 meV / A
2025-10-14 16:21:50.187 INFO: Epoch 70: head: Default, loss=0.23076611, RMSE_E_per_atom=   43.90 meV, RMSE_F=  150.88 meV / A
2025-10-14 16:21:53.131 INFO: Epoch 71: head: Default, loss=0.23420472, RMSE_E_per_atom=   42.77 meV, RMSE_F=  151.99 meV / A
2025-10-14 16:21:56.133 INFO: Epoch 72: head: Default, loss=0.23039017, RMSE_E_per_atom=   43.99 meV, RMSE_F=  150.76 meV / A
2025-10-14 16:21:59.257 INFO: Epoch 73: head: Default, loss=0.22593168, RMSE_E_per_atom=   42.02 meV, RMSE_F=  149.32 meV / A
2025-10-14 16:22:02.303 INFO: Epoch 74: head: Default, loss=0.22546200, RMSE_E_per_atom=   45.90 meV, RMSE_F=  149.15 meV / A
2025-10-14 16:22:05.367 INFO: Epoch 75: head: Default, loss=0.22499246, RMSE_E_per_atom=   48.73 meV, RMSE_F=  149.00 meV / A
2025-10-14 16:22:08.396 INFO: Epoch 76: head: Default, loss=0.22364320, RMSE_E_per_atom=   50.26 meV, RMSE_F=  148.55 meV / A
2025-10-14 16:22:11.456 INFO: Epoch 77: head: Default, loss=0.22249036, RMSE_E_per_atom=   49.93 meV, RMSE_F=  148.16 meV / A
2025-10-14 16:22:14.545 INFO: Epoch 78: head: Default, loss=0.22084387, RMSE_E_per_atom=   47.81 meV, RMSE_F=  147.60 meV / A
2025-10-14 16:22:17.586 INFO: Epoch 79: head: Default, loss=0.22090800, RMSE_E_per_atom=   46.89 meV, RMSE_F=  147.62 meV / A
2025-10-14 16:22:20.555 INFO: Epoch 80: head: Default, loss=0.22178997, RMSE_E_per_atom=   47.33 meV, RMSE_F=  147.89 meV / A
2025-10-14 16:22:23.422 INFO: Epoch 81: head: Default, loss=0.22825839, RMSE_E_per_atom=   47.19 meV, RMSE_F=  150.03 meV / A
2025-10-14 16:22:26.459 INFO: Epoch 82: head: Default, loss=0.22609688, RMSE_E_per_atom=   50.98 meV, RMSE_F=  149.32 meV / A
2025-10-14 16:22:29.489 INFO: Epoch 83: head: Default, loss=0.22300584, RMSE_E_per_atom=   48.67 meV, RMSE_F=  148.29 meV / A
2025-10-14 16:22:32.484 INFO: Epoch 84: head: Default, loss=0.22086021, RMSE_E_per_atom=   49.07 meV, RMSE_F=  147.60 meV / A
2025-10-14 16:22:35.499 INFO: Epoch 85: head: Default, loss=0.22164902, RMSE_E_per_atom=   54.23 meV, RMSE_F=  147.83 meV / A
2025-10-14 16:22:38.516 INFO: Epoch 86: head: Default, loss=0.22123700, RMSE_E_per_atom=   58.58 meV, RMSE_F=  147.66 meV / A
2025-10-14 16:22:41.511 INFO: Epoch 87: head: Default, loss=0.22027350, RMSE_E_per_atom=   55.86 meV, RMSE_F=  147.36 meV / A
2025-10-14 16:22:44.549 INFO: Epoch 88: head: Default, loss=0.21877635, RMSE_E_per_atom=   50.86 meV, RMSE_F=  146.87 meV / A
2025-10-14 16:22:47.618 INFO: Epoch 89: head: Default, loss=0.21799832, RMSE_E_per_atom=   52.78 meV, RMSE_F=  146.61 meV / A
2025-10-14 16:22:50.715 INFO: Epoch 90: head: Default, loss=0.21572586, RMSE_E_per_atom=   52.54 meV, RMSE_F=  145.83 meV / A
2025-10-14 16:22:53.627 INFO: Epoch 91: head: Default, loss=0.21501430, RMSE_E_per_atom=   45.96 meV, RMSE_F=  145.63 meV / A
2025-10-14 16:22:56.695 INFO: Epoch 92: head: Default, loss=0.21446084, RMSE_E_per_atom=   44.19 meV, RMSE_F=  145.45 meV / A
2025-10-14 16:22:59.757 INFO: Epoch 93: head: Default, loss=0.21282889, RMSE_E_per_atom=   44.41 meV, RMSE_F=  144.89 meV / A
2025-10-14 16:23:02.873 INFO: Epoch 94: head: Default, loss=0.21195192, RMSE_E_per_atom=   45.39 meV, RMSE_F=  144.59 meV / A
2025-10-14 16:23:05.957 INFO: Epoch 95: head: Default, loss=0.21211536, RMSE_E_per_atom=   45.96 meV, RMSE_F=  144.66 meV / A
2025-10-14 16:23:08.939 INFO: Epoch 96: head: Default, loss=0.21065473, RMSE_E_per_atom=   45.81 meV, RMSE_F=  144.16 meV / A
2025-10-14 16:23:11.961 INFO: Epoch 97: head: Default, loss=0.20903574, RMSE_E_per_atom=   44.91 meV, RMSE_F=  143.62 meV / A
