2025-10-14 18:40:19.268 INFO: ===========VERIFYING SETTINGS===========
2025-10-14 18:40:19.282 INFO: Stage Two is activated as start_stage_two was defined
2025-10-14 18:40:19.284 INFO: MACE version: 0.3.14
2025-10-14 18:40:19.286 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-14 18:40:19.290 INFO: Using foundation model mace-mp-0 small as initial checkpoint.
2025-10-14 18:40:19.415 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-14 18:40:19.422 INFO: ===========LOADING INPUT DATA===========
2025-10-14 18:40:19.423 INFO: Using heads: ['Default']
2025-10-14 18:40:19.424 INFO: Using the key specifications to parse data:
2025-10-14 18:40:19.426 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-14 18:40:19.427 INFO: =============    Processing head Default     ===========
2025-10-14 18:40:19.710 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-14 18:40:19.714 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-14 18:40:19.798 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-14 18:40:19.800 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-14 18:40:20.093 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-14 18:40:20.097 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-14 18:40:20.098 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-14 18:40:20.106 INFO: Atomic Numbers used: [8, 72]
2025-10-14 18:40:20.108 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-14 18:40:20.109 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-14 18:40:20.110 INFO: Processing datasets for head 'Default'
2025-10-14 18:40:22.465 INFO: Combining 1 list datasets for head 'Default'
2025-10-14 18:40:23.118 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-14 18:40:23.119 INFO: Combined validation datasets for Default
2025-10-14 18:40:23.121 INFO: Head 'Default' training dataset size: 361
2025-10-14 18:40:23.122 INFO: Computing average number of neighbors
2025-10-14 18:40:23.304 INFO: Average number of neighbors: 59.54062481261618
2025-10-14 18:40:23.306 INFO: During training the following quantities will be reported: energy, forces
2025-10-14 18:40:23.307 INFO: ===========MODEL DETAILS===========
2025-10-14 18:40:23.453 INFO: Loading FOUNDATION model
2025-10-14 18:40:23.456 INFO: Using filtered elements: [8, 72]
2025-10-14 18:40:23.457 INFO: Model configuration extracted from foundation model
2025-10-14 18:40:23.458 INFO: Using weighted loss function for fine-tuning
2025-10-14 18:40:23.459 INFO: Message passing with hidden irreps 128x0e)
2025-10-14 18:40:23.461 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-14 18:40:23.462 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-14 18:40:23.463 INFO: Distance transform for radial basis functions: None
2025-10-14 18:40:24.538 INFO: Total number of parameters: 362138
2025-10-14 18:40:24.540 INFO: 
2025-10-14 18:40:24.541 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-14 18:40:24.542 INFO: Using ADAMW as parameter optimizer
2025-10-14 18:40:24.543 INFO: Batch size: 14
2025-10-14 18:40:24.544 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-14 18:40:24.546 INFO: Number of gradient updates: 7735
2025-10-14 18:40:24.547 INFO: Learning rate: 0.001, weight decay: 5e-07
2025-10-14 18:40:24.548 INFO: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000)
2025-10-14 18:40:24.549 INFO: Converting model to CUEQ for accelerated training
2025-10-14 18:40:24.633 INFO: Creating new model with cuequivariance settings
2025-10-14 18:40:24.992 INFO: Stage Two (after 180 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000), with energy weight : 1.0, forces weight : 100.0 and learning rate : 0.01
2025-10-14 18:40:25.051 INFO: Using Weights and Biases for logging
2025-10-14 18:40:27.457 INFO: Using gradient clipping with tolerance=10.000
2025-10-14 18:40:27.458 INFO: 
2025-10-14 18:40:27.459 INFO: ===========TRAINING===========
2025-10-14 18:40:27.460 INFO: Started training, reporting errors on validation set
2025-10-14 18:40:27.461 INFO: Loss metrics on validation set
2025-10-14 18:40:27.833 INFO: Initial: head: Default, loss=6220.13242485, RMSE_E_per_atom= 7885.95 meV, RMSE_F=  361.32 meV / A
2025-10-14 18:40:30.387 INFO: Epoch 0: head: Default, loss=1129.69970680, RMSE_E_per_atom= 3333.04 meV, RMSE_F= 1367.29 meV / A
2025-10-14 18:40:32.875 INFO: Epoch 1: head: Default, loss=727.06682008, RMSE_E_per_atom= 2640.75 meV, RMSE_F= 1717.08 meV / A
2025-10-14 18:40:35.472 INFO: Epoch 2: head: Default, loss=51.49321680, RMSE_E_per_atom=  594.24 meV, RMSE_F= 1264.20 meV / A
2025-10-14 18:40:38.495 INFO: Epoch 3: head: Default, loss=6.25707529, RMSE_E_per_atom=  158.26 meV, RMSE_F=  610.18 meV / A
2025-10-14 18:40:41.161 INFO: Epoch 4: head: Default, loss=2.55414394, RMSE_E_per_atom=   76.72 meV, RMSE_F=  444.97 meV / A
2025-10-14 18:40:43.819 INFO: Epoch 5: head: Default, loss=1.75562107, RMSE_E_per_atom=   56.85 meV, RMSE_F=  381.13 meV / A
2025-10-14 18:40:46.476 INFO: Epoch 6: head: Default, loss=1.40712639, RMSE_E_per_atom=   47.67 meV, RMSE_F=  345.64 meV / A
2025-10-14 18:40:49.181 INFO: Epoch 7: head: Default, loss=1.15057865, RMSE_E_per_atom=   37.75 meV, RMSE_F=  319.37 meV / A
2025-10-14 18:40:51.864 INFO: Epoch 8: head: Default, loss=0.99989476, RMSE_E_per_atom=   32.97 meV, RMSE_F=  300.08 meV / A
2025-10-14 18:40:54.500 INFO: Epoch 9: head: Default, loss=0.90234050, RMSE_E_per_atom=   30.43 meV, RMSE_F=  285.75 meV / A
2025-10-14 18:40:57.132 INFO: Epoch 10: head: Default, loss=0.84020691, RMSE_E_per_atom=   28.83 meV, RMSE_F=  276.25 meV / A
2025-10-14 18:40:59.693 INFO: Epoch 11: head: Default, loss=0.86988484, RMSE_E_per_atom=   35.16 meV, RMSE_F=  273.98 meV / A
2025-10-14 18:41:02.295 INFO: Epoch 12: head: Default, loss=0.78845937, RMSE_E_per_atom=   27.27 meV, RMSE_F=  267.98 meV / A
2025-10-14 18:41:04.936 INFO: Epoch 13: head: Default, loss=0.74574417, RMSE_E_per_atom=   24.69 meV, RMSE_F=  262.37 meV / A
2025-10-14 18:41:07.565 INFO: Epoch 14: head: Default, loss=0.71029234, RMSE_E_per_atom=   24.52 meV, RMSE_F=  255.46 meV / A
2025-10-14 18:41:10.170 INFO: Epoch 15: head: Default, loss=0.67422211, RMSE_E_per_atom=   22.25 meV, RMSE_F=  250.32 meV / A
2025-10-14 18:41:12.802 INFO: Epoch 16: head: Default, loss=0.65463520, RMSE_E_per_atom=   22.60 meV, RMSE_F=  245.91 meV / A
2025-10-14 18:41:15.450 INFO: Epoch 17: head: Default, loss=0.63545840, RMSE_E_per_atom=   22.68 meV, RMSE_F=  241.86 meV / A
2025-10-14 18:41:18.126 INFO: Epoch 18: head: Default, loss=0.61042626, RMSE_E_per_atom=   19.81 meV, RMSE_F=  239.16 meV / A
2025-10-14 18:41:20.764 INFO: Epoch 19: head: Default, loss=0.59300805, RMSE_E_per_atom=   19.19 meV, RMSE_F=  235.93 meV / A
2025-10-14 18:41:23.380 INFO: Epoch 20: head: Default, loss=0.57924707, RMSE_E_per_atom=   19.52 meV, RMSE_F=  232.72 meV / A
2025-10-14 18:41:25.917 INFO: Epoch 21: head: Default, loss=0.65349843, RMSE_E_per_atom=   34.43 meV, RMSE_F=  231.31 meV / A
2025-10-14 18:41:28.514 INFO: Epoch 22: head: Default, loss=0.59033047, RMSE_E_per_atom=   25.31 meV, RMSE_F=  229.46 meV / A
2025-10-14 18:41:31.116 INFO: Epoch 23: head: Default, loss=0.56759295, RMSE_E_per_atom=   21.99 meV, RMSE_F=  227.89 meV / A
2025-10-14 18:41:33.774 INFO: Epoch 24: head: Default, loss=0.55719956, RMSE_E_per_atom=   21.29 meV, RMSE_F=  226.31 meV / A
2025-10-14 18:41:36.416 INFO: Epoch 25: head: Default, loss=0.54672665, RMSE_E_per_atom=   19.99 meV, RMSE_F=  225.16 meV / A
2025-10-14 18:41:39.028 INFO: Epoch 26: head: Default, loss=0.52927962, RMSE_E_per_atom=   17.28 meV, RMSE_F=  223.49 meV / A
2025-10-14 18:41:41.712 INFO: Epoch 27: head: Default, loss=0.60781745, RMSE_E_per_atom=   33.85 meV, RMSE_F=  222.00 meV / A
2025-10-14 18:41:44.305 INFO: Epoch 28: head: Default, loss=0.55543081, RMSE_E_per_atom=   25.69 meV, RMSE_F=  221.23 meV / A
2025-10-14 18:41:46.925 INFO: Epoch 29: head: Default, loss=0.53888386, RMSE_E_per_atom=   23.44 meV, RMSE_F=  219.98 meV / A
2025-10-14 18:41:49.505 INFO: Epoch 30: head: Default, loss=0.52162490, RMSE_E_per_atom=   20.84 meV, RMSE_F=  218.63 meV / A
2025-10-14 18:41:52.044 INFO: Epoch 31: head: Default, loss=0.52160388, RMSE_E_per_atom=   21.42 meV, RMSE_F=  217.97 meV / A
2025-10-14 18:41:54.732 INFO: Epoch 32: head: Default, loss=0.50814661, RMSE_E_per_atom=   19.19 meV, RMSE_F=  216.90 meV / A
2025-10-14 18:41:57.374 INFO: Epoch 33: head: Default, loss=0.49667169, RMSE_E_per_atom=   17.16 meV, RMSE_F=  215.97 meV / A
2025-10-14 18:42:00.007 INFO: Epoch 34: head: Default, loss=0.49643220, RMSE_E_per_atom=   18.21 meV, RMSE_F=  215.04 meV / A
