2025-10-07 14:23:25.348 INFO: ===========VERIFYING SETTINGS===========
2025-10-07 14:23:25.351 INFO: MACE version: 0.3.14
2025-10-07 14:23:25.352 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 14:23:25.356 INFO: Using foundation model mace-mp-0 medium as initial checkpoint.
2025-10-07 14:23:27.891 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 14:23:27.897 INFO: ===========LOADING INPUT DATA===========
2025-10-07 14:23:27.898 INFO: Using heads: ['Default']
2025-10-07 14:23:27.899 INFO: Using the key specifications to parse data:
2025-10-07 14:23:27.900 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-07 14:23:27.901 INFO: =============    Processing head Default     ===========
2025-10-07 14:23:28.188 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 14:23:28.192 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 14:23:28.281 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 14:23:28.283 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 14:23:28.595 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 14:23:28.600 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 14:23:28.601 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-07 14:23:28.609 INFO: Atomic Numbers used: [8, 72]
2025-10-07 14:23:28.611 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-07 14:23:28.612 INFO: Atomic Energies used (z: eV) for head Default: {8: -443.8224565134432, 72: -1529.4984727695407}
2025-10-07 14:23:28.613 INFO: Processing datasets for head 'Default'
2025-10-07 14:23:30.963 INFO: Combining 1 list datasets for head 'Default'
2025-10-07 14:23:31.603 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-07 14:23:31.605 INFO: Combined validation datasets for Default
2025-10-07 14:23:31.606 INFO: Head 'Default' training dataset size: 361
2025-10-07 14:23:31.608 INFO: Computing average number of neighbors
2025-10-07 14:23:31.808 INFO: Average number of neighbors: 59.332753814334104
2025-10-07 14:23:31.810 INFO: During training the following quantities will be reported: energy, forces
2025-10-07 14:23:31.811 INFO: ===========MODEL DETAILS===========
2025-10-07 14:23:31.962 INFO: Loading FOUNDATION model
2025-10-07 14:23:31.964 INFO: Using filtered elements: [8, 72]
2025-10-07 14:23:31.966 INFO: Model configuration extracted from foundation model
2025-10-07 14:23:31.967 INFO: Using weighted loss function for fine-tuning
2025-10-07 14:23:31.968 INFO: Message passing with hidden irreps 128x0e+128x1o)
2025-10-07 14:23:31.969 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-07 14:23:31.971 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-07 14:23:31.972 INFO: Distance transform for radial basis functions: None
2025-10-07 14:23:33.468 INFO: Total number of parameters: 557210
2025-10-07 14:23:33.469 INFO: 
2025-10-07 14:23:33.471 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-07 14:23:33.472 INFO: Using ADAM as parameter optimizer
2025-10-07 14:23:33.473 INFO: Batch size: 14
2025-10-07 14:23:33.474 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-07 14:23:33.475 INFO: Number of gradient updates: 6446
2025-10-07 14:23:33.476 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-10-07 14:23:33.478 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-07 14:23:33.479 INFO: Converting model to CUEQ for accelerated training
2025-10-07 14:23:33.583 INFO: Creating new model with cuequivariance settings
2025-10-07 14:23:35.848 INFO: Stage Two (after 186 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-07 14:23:35.942 INFO: Using Weights and Biases for logging
2025-10-07 14:23:39.244 INFO: Using gradient clipping with tolerance=10.000
2025-10-07 14:23:39.245 INFO: 
2025-10-07 14:23:39.246 INFO: ===========TRAINING===========
2025-10-07 14:23:39.247 INFO: Started training, reporting errors on validation set
2025-10-07 14:23:39.248 INFO: Loss metrics on validation set
2025-10-07 14:24:19.351 INFO: Initial: head: Default, loss=6.67157448, RMSE_E_per_atom= 7434.94 meV, RMSE_F=  337.70 meV / A
2025-10-07 14:27:22.422 INFO: Epoch 0: head: Default, loss=1.02707633, RMSE_E_per_atom=  944.06 meV, RMSE_F=  304.81 meV / A
2025-10-07 14:28:29.041 INFO: Epoch 1: head: Default, loss=1.20893017, RMSE_E_per_atom=  987.44 meV, RMSE_F=  331.76 meV / A
2025-10-07 14:28:32.692 INFO: Epoch 2: head: Default, loss=0.66652656, RMSE_E_per_atom=  415.65 meV, RMSE_F=  253.59 meV / A
2025-10-07 14:28:36.422 INFO: Epoch 3: head: Default, loss=0.54928416, RMSE_E_per_atom=  257.39 meV, RMSE_F=  231.90 meV / A
2025-10-07 14:28:40.358 INFO: Epoch 4: head: Default, loss=0.50889680, RMSE_E_per_atom=  215.59 meV, RMSE_F=  223.30 meV / A
2025-10-07 14:28:44.010 INFO: Epoch 5: head: Default, loss=0.48198105, RMSE_E_per_atom=  193.91 meV, RMSE_F=  217.43 meV / A
2025-10-07 14:28:47.700 INFO: Epoch 6: head: Default, loss=0.45782307, RMSE_E_per_atom=  126.39 meV, RMSE_F=  212.37 meV / A
2025-10-07 14:28:51.393 INFO: Epoch 7: head: Default, loss=0.44639247, RMSE_E_per_atom=  164.70 meV, RMSE_F=  209.28 meV / A
2025-10-07 14:28:55.092 INFO: Epoch 8: head: Default, loss=0.42554063, RMSE_E_per_atom=  131.64 meV, RMSE_F=  204.52 meV / A
2025-10-07 14:28:58.811 INFO: Epoch 9: head: Default, loss=0.41249594, RMSE_E_per_atom=  148.41 meV, RMSE_F=  201.37 meV / A
2025-10-07 14:29:02.514 INFO: Epoch 10: head: Default, loss=0.39854018, RMSE_E_per_atom=  137.62 meV, RMSE_F=  197.99 meV / A
2025-10-07 14:29:06.086 INFO: Epoch 11: head: Default, loss=0.40373983, RMSE_E_per_atom=  119.99 meV, RMSE_F=  199.52 meV / A
2025-10-07 14:29:09.749 INFO: Epoch 12: head: Default, loss=0.38230840, RMSE_E_per_atom=  110.66 meV, RMSE_F=  194.12 meV / A
2025-10-07 14:29:13.461 INFO: Epoch 13: head: Default, loss=0.38263906, RMSE_E_per_atom=  105.20 meV, RMSE_F=  194.18 meV / A
2025-10-07 14:29:17.449 INFO: Epoch 14: head: Default, loss=0.37186504, RMSE_E_per_atom=  114.75 meV, RMSE_F=  191.31 meV / A
2025-10-07 14:29:21.157 INFO: Epoch 15: head: Default, loss=0.36200732, RMSE_E_per_atom=   94.89 meV, RMSE_F=  188.87 meV / A
2025-10-07 14:29:24.867 INFO: Epoch 16: head: Default, loss=0.35187385, RMSE_E_per_atom=   80.63 meV, RMSE_F=  186.25 meV / A
2025-10-07 14:29:28.597 INFO: Epoch 17: head: Default, loss=0.34257232, RMSE_E_per_atom=   97.96 meV, RMSE_F=  183.70 meV / A
2025-10-07 14:29:32.309 INFO: Epoch 18: head: Default, loss=0.35030333, RMSE_E_per_atom=   81.84 meV, RMSE_F=  185.94 meV / A
2025-10-07 14:29:35.988 INFO: Epoch 19: head: Default, loss=0.34259267, RMSE_E_per_atom=  100.01 meV, RMSE_F=  183.70 meV / A
2025-10-07 14:29:39.665 INFO: Epoch 20: head: Default, loss=0.34000953, RMSE_E_per_atom=  100.76 meV, RMSE_F=  182.92 meV / A
2025-10-07 14:29:43.269 INFO: Epoch 21: head: Default, loss=0.34642371, RMSE_E_per_atom=  115.99 meV, RMSE_F=  184.51 meV / A
2025-10-07 14:29:46.959 INFO: Epoch 22: head: Default, loss=0.33445782, RMSE_E_per_atom=  100.91 meV, RMSE_F=  181.36 meV / A
2025-10-07 14:29:50.692 INFO: Epoch 23: head: Default, loss=0.32352502, RMSE_E_per_atom=   87.45 meV, RMSE_F=  178.43 meV / A
2025-10-07 14:29:54.485 INFO: Epoch 24: head: Default, loss=0.31699674, RMSE_E_per_atom=   77.79 meV, RMSE_F=  176.69 meV / A
2025-10-07 14:29:58.193 INFO: Epoch 25: head: Default, loss=0.31303615, RMSE_E_per_atom=   82.34 meV, RMSE_F=  175.59 meV / A
2025-10-07 14:30:01.971 INFO: Epoch 26: head: Default, loss=0.30600270, RMSE_E_per_atom=   70.09 meV, RMSE_F=  173.63 meV / A
2025-10-07 14:30:05.749 INFO: Epoch 27: head: Default, loss=0.29892622, RMSE_E_per_atom=   65.24 meV, RMSE_F=  171.62 meV / A
2025-10-07 14:30:09.475 INFO: Epoch 28: head: Default, loss=0.29759212, RMSE_E_per_atom=   68.83 meV, RMSE_F=  171.23 meV / A
2025-10-07 14:30:13.187 INFO: Epoch 29: head: Default, loss=0.29461978, RMSE_E_per_atom=   63.30 meV, RMSE_F=  170.42 meV / A
2025-10-07 14:30:16.926 INFO: Epoch 30: head: Default, loss=0.29082141, RMSE_E_per_atom=   62.86 meV, RMSE_F=  169.29 meV / A
2025-10-07 14:30:20.486 INFO: Epoch 31: head: Default, loss=0.29311642, RMSE_E_per_atom=   72.16 meV, RMSE_F=  169.95 meV / A
2025-10-07 14:30:24.101 INFO: Epoch 32: head: Default, loss=0.28833583, RMSE_E_per_atom=   68.92 meV, RMSE_F=  168.57 meV / A
2025-10-07 14:30:27.806 INFO: Epoch 33: head: Default, loss=0.28372038, RMSE_E_per_atom=   66.72 meV, RMSE_F=  167.21 meV / A
2025-10-07 14:30:31.553 INFO: Epoch 34: head: Default, loss=0.27941059, RMSE_E_per_atom=   62.91 meV, RMSE_F=  165.93 meV / A
