2025-10-07 13:35:43.889 INFO: ===========VERIFYING SETTINGS===========
2025-10-07 13:35:43.892 INFO: MACE version: 0.3.14
2025-10-07 13:35:43.893 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 13:35:43.896 INFO: Using foundation model mace-mp-0 large as initial checkpoint.
2025-10-07 13:35:44.138 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 13:35:44.168 INFO: ===========LOADING INPUT DATA===========
2025-10-07 13:35:44.169 INFO: Using heads: ['Default']
2025-10-07 13:35:44.170 INFO: Using the key specifications to parse data:
2025-10-07 13:35:44.171 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-07 13:35:44.172 INFO: =============    Processing head Default     ===========
2025-10-07 13:35:44.460 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 13:35:44.463 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 13:35:44.554 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 13:35:44.556 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 13:35:44.854 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 13:35:44.859 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 13:35:44.860 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-07 13:35:44.868 INFO: Atomic Numbers used: [8, 72]
2025-10-07 13:35:44.869 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-07 13:35:44.871 INFO: Atomic Energies used (z: eV) for head Default: {8: -443.8224565134432, 72: -1529.4984727695407}
2025-10-07 13:35:44.872 INFO: Processing datasets for head 'Default'
2025-10-07 13:35:45.782 INFO: Combining 1 list datasets for head 'Default'
2025-10-07 13:35:45.973 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-07 13:35:45.974 INFO: Combined validation datasets for Default
2025-10-07 13:35:45.976 INFO: Head 'Default' training dataset size: 361
2025-10-07 13:35:45.978 INFO: Computing average number of neighbors
2025-10-07 13:35:46.205 INFO: Average number of neighbors: 24.735324048498242
2025-10-07 13:35:46.207 INFO: During training the following quantities will be reported: energy, forces
2025-10-07 13:35:46.208 INFO: ===========MODEL DETAILS===========
2025-10-07 13:35:46.401 INFO: Loading FOUNDATION model
2025-10-07 13:35:46.403 INFO: Using filtered elements: [8, 72]
2025-10-07 13:35:46.405 INFO: Model configuration extracted from foundation model
2025-10-07 13:35:46.406 INFO: Using weighted loss function for fine-tuning
2025-10-07 13:35:46.407 INFO: Message passing with hidden irreps 256x0e+256x1o)
2025-10-07 13:35:46.408 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-07 13:35:46.410 INFO: Radial cutoff: 4.5 A (total receptive field for each atom: 9.0 A)
2025-10-07 13:35:46.411 INFO: Distance transform for radial basis functions: None
2025-10-07 13:35:48.034 INFO: Total number of parameters: 1882904
2025-10-07 13:35:48.035 INFO: 
2025-10-07 13:35:48.037 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-07 13:35:48.038 INFO: Using ADAM as parameter optimizer
2025-10-07 13:35:48.039 INFO: Batch size: 6
2025-10-07 13:35:48.040 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-07 13:35:48.041 INFO: Number of gradient updates: 15041
2025-10-07 13:35:48.042 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-10-07 13:35:48.044 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-07 13:35:48.045 INFO: Converting model to CUEQ for accelerated training
2025-10-07 13:35:48.149 INFO: Creating new model with cuequivariance settings
2025-10-07 13:35:48.681 INFO: Stage Two (after 186 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-07 13:35:48.779 INFO: Using Weights and Biases for logging
2025-10-07 13:35:52.050 INFO: Using gradient clipping with tolerance=10.000
2025-10-07 13:35:52.051 INFO: 
2025-10-07 13:35:52.052 INFO: ===========TRAINING===========
2025-10-07 13:35:52.053 INFO: Started training, reporting errors on validation set
2025-10-07 13:35:52.054 INFO: Loss metrics on validation set
2025-10-07 13:35:52.556 INFO: Initial: head: Default, loss=7.06147679, RMSE_E_per_atom= 7420.47 meV, RMSE_F=  392.65 meV / A
2025-10-07 13:35:59.199 INFO: Epoch 0: head: Default, loss=0.85709070, RMSE_E_per_atom=  856.80 meV, RMSE_F=  280.10 meV / A
2025-10-07 13:36:05.382 INFO: Epoch 1: head: Default, loss=1.18113126, RMSE_E_per_atom=  826.23 meV, RMSE_F=  334.20 meV / A
2025-10-07 13:36:12.120 INFO: Epoch 2: head: Default, loss=0.59774822, RMSE_E_per_atom=  410.47 meV, RMSE_F=  239.59 meV / A
2025-10-07 13:36:18.915 INFO: Epoch 3: head: Default, loss=0.53988767, RMSE_E_per_atom=  303.88 meV, RMSE_F=  229.49 meV / A
2025-10-07 13:36:25.636 INFO: Epoch 4: head: Default, loss=0.46969504, RMSE_E_per_atom=  190.89 meV, RMSE_F=  214.68 meV / A
2025-10-07 13:36:32.509 INFO: Epoch 5: head: Default, loss=0.43034791, RMSE_E_per_atom=  153.07 meV, RMSE_F=  205.52 meV / A
2025-10-07 13:36:39.275 INFO: Epoch 6: head: Default, loss=0.40156402, RMSE_E_per_atom=  141.93 meV, RMSE_F=  198.48 meV / A
2025-10-07 13:36:46.077 INFO: Epoch 7: head: Default, loss=0.39477291, RMSE_E_per_atom=  139.11 meV, RMSE_F=  196.95 meV / A
2025-10-07 13:36:52.826 INFO: Epoch 8: head: Default, loss=0.37935791, RMSE_E_per_atom=  111.72 meV, RMSE_F=  193.34 meV / A
2025-10-07 13:36:59.511 INFO: Epoch 9: head: Default, loss=0.35803679, RMSE_E_per_atom=   84.66 meV, RMSE_F=  187.73 meV / A
2025-10-07 13:37:06.367 INFO: Epoch 10: head: Default, loss=0.35914146, RMSE_E_per_atom=  104.28 meV, RMSE_F=  187.92 meV / A
2025-10-07 13:37:12.273 INFO: Epoch 11: head: Default, loss=0.42094884, RMSE_E_per_atom=  104.26 meV, RMSE_F=  203.73 meV / A
2025-10-07 13:37:18.928 INFO: Epoch 12: head: Default, loss=0.36531392, RMSE_E_per_atom=   97.94 meV, RMSE_F=  189.58 meV / A
2025-10-07 13:37:25.447 INFO: Epoch 13: head: Default, loss=0.35382817, RMSE_E_per_atom=   95.44 meV, RMSE_F=  186.51 meV / A
2025-10-07 13:37:32.232 INFO: Epoch 14: head: Default, loss=0.34746406, RMSE_E_per_atom=   92.22 meV, RMSE_F=  184.85 meV / A
2025-10-07 13:37:38.991 INFO: Epoch 15: head: Default, loss=0.34064616, RMSE_E_per_atom=   91.40 meV, RMSE_F=  183.00 meV / A
2025-10-07 13:37:45.782 INFO: Epoch 16: head: Default, loss=0.33247075, RMSE_E_per_atom=   74.00 meV, RMSE_F=  180.95 meV / A
2025-10-07 13:37:52.554 INFO: Epoch 17: head: Default, loss=0.32443160, RMSE_E_per_atom=   79.86 meV, RMSE_F=  178.57 meV / A
2025-10-07 13:37:59.283 INFO: Epoch 18: head: Default, loss=0.31807037, RMSE_E_per_atom=   65.34 meV, RMSE_F=  176.92 meV / A
2025-10-07 13:38:05.965 INFO: Epoch 19: head: Default, loss=0.31565414, RMSE_E_per_atom=   52.51 meV, RMSE_F=  176.31 meV / A
2025-10-07 13:38:12.741 INFO: Epoch 20: head: Default, loss=0.31482032, RMSE_E_per_atom=   61.60 meV, RMSE_F=  175.94 meV / A
2025-10-07 13:38:18.812 INFO: Epoch 21: head: Default, loss=0.34034584, RMSE_E_per_atom=   60.79 meV, RMSE_F=  183.02 meV / A
2025-10-07 13:38:25.475 INFO: Epoch 22: head: Default, loss=0.31886121, RMSE_E_per_atom=   57.48 meV, RMSE_F=  177.12 meV / A
2025-10-07 13:38:32.089 INFO: Epoch 23: head: Default, loss=0.30804065, RMSE_E_per_atom=   56.67 meV, RMSE_F=  174.14 meV / A
2025-10-07 13:38:38.792 INFO: Epoch 24: head: Default, loss=0.29975312, RMSE_E_per_atom=   53.42 meV, RMSE_F=  171.76 meV / A
2025-10-07 13:38:45.565 INFO: Epoch 25: head: Default, loss=0.29556847, RMSE_E_per_atom=   47.73 meV, RMSE_F=  170.49 meV / A
2025-10-07 13:38:52.282 INFO: Epoch 26: head: Default, loss=0.28924761, RMSE_E_per_atom=   45.20 meV, RMSE_F=  168.61 meV / A
2025-10-07 13:38:59.160 INFO: Epoch 27: head: Default, loss=0.28378884, RMSE_E_per_atom=   46.80 meV, RMSE_F=  167.02 meV / A
2025-10-07 13:39:05.894 INFO: Epoch 28: head: Default, loss=0.27943742, RMSE_E_per_atom=   41.19 meV, RMSE_F=  165.80 meV / A
2025-10-07 13:39:12.783 INFO: Epoch 29: head: Default, loss=0.27825602, RMSE_E_per_atom=   41.86 meV, RMSE_F=  165.42 meV / A
2025-10-07 13:39:19.512 INFO: Epoch 30: head: Default, loss=0.27845076, RMSE_E_per_atom=   56.24 meV, RMSE_F=  165.47 meV / A
2025-10-07 13:39:25.490 INFO: Epoch 31: head: Default, loss=0.29357120, RMSE_E_per_atom=   48.89 meV, RMSE_F=  170.02 meV / A
2025-10-07 13:39:32.059 INFO: Epoch 32: head: Default, loss=0.28725082, RMSE_E_per_atom=   43.26 meV, RMSE_F=  168.17 meV / A
2025-10-07 13:39:38.647 INFO: Epoch 33: head: Default, loss=0.28174145, RMSE_E_per_atom=   48.86 meV, RMSE_F=  166.45 meV / A
2025-10-07 13:39:45.227 INFO: Epoch 34: head: Default, loss=0.28213124, RMSE_E_per_atom=   44.18 meV, RMSE_F=  166.59 meV / A
