2025-10-06 16:37:35.824 INFO: ===========VERIFYING SETTINGS===========
2025-10-06 16:37:35.827 INFO: MACE version: 0.3.14
2025-10-06 16:37:35.828 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-06 16:37:35.833 INFO: Using foundation model mace-mp-0 small as initial checkpoint.
2025-10-06 16:37:35.963 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-06 16:37:35.969 INFO: ===========LOADING INPUT DATA===========
2025-10-06 16:37:35.970 INFO: Using heads: ['Default']
2025-10-06 16:37:35.971 INFO: Using the key specifications to parse data:
2025-10-06 16:37:35.972 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-06 16:37:35.974 INFO: =============    Processing head Default     ===========
2025-10-06 16:37:36.260 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-06 16:37:36.263 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-06 16:37:36.353 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-06 16:37:36.355 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-06 16:37:36.976 INFO: Test set 1/1 [energy: 816, stress: 816, virials: 0, dipole components: 0, head: 816, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 816, charges: 0]
2025-10-06 16:37:36.984 INFO: Total Test set [energy: 816, stress: 816, virials: 0, dipole components: 0, head: 816, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 816, charges: 0]
2025-10-06 16:37:36.986 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 816],
2025-10-06 16:37:36.994 INFO: Atomic Numbers used: [8, 72]
2025-10-06 16:37:36.995 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-06 16:37:36.996 INFO: Atomic Energies used (z: eV) for head Default: {8: -443.8224565134432, 72: -1529.4984727695407}
2025-10-06 16:37:36.997 INFO: Processing datasets for head 'Default'
2025-10-06 16:37:39.079 INFO: Combining 1 list datasets for head 'Default'
2025-10-06 16:37:39.627 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-06 16:37:39.628 INFO: Combined validation datasets for Default
2025-10-06 16:37:39.630 INFO: Head 'Default' training dataset size: 361
2025-10-06 16:37:39.631 INFO: Computing average number of neighbors
2025-10-06 16:37:39.799 INFO: Average number of neighbors: 52.15321958594304
2025-10-06 16:37:39.801 INFO: During training the following quantities will be reported: energy, forces
2025-10-06 16:37:39.803 INFO: ===========MODEL DETAILS===========
2025-10-06 16:37:39.944 INFO: Loading FOUNDATION model
2025-10-06 16:37:39.947 INFO: Using filtered elements: [8, 72]
2025-10-06 16:37:39.948 INFO: Model configuration extracted from foundation model
2025-10-06 16:37:39.949 INFO: Using weighted loss function for fine-tuning
2025-10-06 16:37:39.951 INFO: Message passing with hidden irreps 128x0e)
2025-10-06 16:37:39.952 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-06 16:37:39.953 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-06 16:37:39.954 INFO: Distance transform for radial basis functions: None
2025-10-06 16:37:41.142 INFO: Total number of parameters: 362138
2025-10-06 16:37:41.144 INFO: 
2025-10-06 16:37:41.145 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-06 16:37:41.146 INFO: Using ADAM as parameter optimizer
2025-10-06 16:37:41.148 INFO: Batch size: 14
2025-10-06 16:37:41.149 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-06 16:37:41.150 INFO: Number of gradient updates: 12892
2025-10-06 16:37:41.151 INFO: Learning rate: 0.01, weight decay: 0.0
2025-10-06 16:37:41.152 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-06 16:37:41.154 INFO: Converting model to CUEQ for accelerated training
2025-10-06 16:37:41.244 INFO: Creating new model with cuequivariance settings
2025-10-06 16:37:41.607 INFO: Stage Two (after 375 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-06 16:37:41.670 INFO: Using Weights and Biases for logging
2025-10-06 16:37:45.084 INFO: Using gradient clipping with tolerance=10.000
2025-10-06 16:37:45.085 INFO: 
2025-10-06 16:37:45.086 INFO: ===========TRAINING===========
2025-10-06 16:37:45.087 INFO: Started training, reporting errors on validation set
2025-10-06 16:37:45.088 INFO: Loss metrics on validation set
2025-10-06 16:37:45.477 INFO: Initial: head: Default, loss=12.37370970, RMSE_E_per_atom= 7683.88 meV, RMSE_F=  802.74 meV / A
2025-10-06 16:37:48.001 INFO: Epoch 0: head: Default, loss=2.13909031, RMSE_E_per_atom= 2157.67 meV, RMSE_F=  408.12 meV / A
2025-10-06 16:37:50.485 INFO: Epoch 1: head: Default, loss=2.25159325, RMSE_E_per_atom= 1806.74 meV, RMSE_F=  437.82 meV / A
2025-10-06 16:37:53.049 INFO: Epoch 2: head: Default, loss=1.39437644, RMSE_E_per_atom= 1204.73 meV, RMSE_F=  352.26 meV / A
2025-10-06 16:37:55.728 INFO: Epoch 3: head: Default, loss=1.12366231, RMSE_E_per_atom=  845.13 meV, RMSE_F=  322.86 meV / A
2025-10-06 16:37:58.370 INFO: Epoch 4: head: Default, loss=0.99855359, RMSE_E_per_atom=  719.17 meV, RMSE_F=  306.05 meV / A
2025-10-06 16:38:01.006 INFO: Epoch 5: head: Default, loss=0.92309908, RMSE_E_per_atom=  529.90 meV, RMSE_F=  297.54 meV / A
2025-10-06 16:38:03.630 INFO: Epoch 6: head: Default, loss=0.86738219, RMSE_E_per_atom=  436.46 meV, RMSE_F=  289.68 meV / A
2025-10-06 16:38:06.389 INFO: Epoch 7: head: Default, loss=0.82712993, RMSE_E_per_atom=  368.24 meV, RMSE_F=  283.35 meV / A
2025-10-06 16:38:09.010 INFO: Epoch 8: head: Default, loss=0.79622920, RMSE_E_per_atom=  317.47 meV, RMSE_F=  278.51 meV / A
2025-10-06 16:38:11.670 INFO: Epoch 9: head: Default, loss=0.78666618, RMSE_E_per_atom=  308.32 meV, RMSE_F=  276.91 meV / A
2025-10-06 16:38:14.285 INFO: Epoch 10: head: Default, loss=0.76670273, RMSE_E_per_atom=  282.97 meV, RMSE_F=  273.64 meV / A
2025-10-06 16:38:16.761 INFO: Epoch 11: head: Default, loss=0.84729988, RMSE_E_per_atom=  261.30 meV, RMSE_F=  288.79 meV / A
2025-10-06 16:38:19.352 INFO: Epoch 12: head: Default, loss=0.75860156, RMSE_E_per_atom=  247.08 meV, RMSE_F=  272.69 meV / A
2025-10-06 16:38:21.960 INFO: Epoch 13: head: Default, loss=0.73207010, RMSE_E_per_atom=  229.46 meV, RMSE_F=  267.68 meV / A
2025-10-06 16:38:24.528 INFO: Epoch 14: head: Default, loss=0.71704774, RMSE_E_per_atom=  204.91 meV, RMSE_F=  265.07 meV / A
2025-10-06 16:38:27.511 INFO: Epoch 15: head: Default, loss=0.70085276, RMSE_E_per_atom=  176.59 meV, RMSE_F=  262.19 meV / A
2025-10-06 16:38:30.187 INFO: Epoch 16: head: Default, loss=0.69053847, RMSE_E_per_atom=  167.62 meV, RMSE_F=  260.29 meV / A
2025-10-06 16:38:32.840 INFO: Epoch 17: head: Default, loss=0.68007708, RMSE_E_per_atom=  167.98 meV, RMSE_F=  258.20 meV / A
2025-10-06 16:38:35.445 INFO: Epoch 18: head: Default, loss=0.67033960, RMSE_E_per_atom=  162.72 meV, RMSE_F=  256.34 meV / A
2025-10-06 16:38:38.065 INFO: Epoch 19: head: Default, loss=0.66302131, RMSE_E_per_atom=  155.26 meV, RMSE_F=  254.97 meV / A
2025-10-06 16:38:40.662 INFO: Epoch 20: head: Default, loss=0.66173078, RMSE_E_per_atom=  171.52 meV, RMSE_F=  254.65 meV / A
2025-10-06 16:38:43.221 INFO: Epoch 21: head: Default, loss=0.73201077, RMSE_E_per_atom=  219.19 meV, RMSE_F=  267.92 meV / A
2025-10-06 16:38:45.832 INFO: Epoch 22: head: Default, loss=0.69426595, RMSE_E_per_atom=  205.88 meV, RMSE_F=  260.76 meV / A
2025-10-06 16:38:48.401 INFO: Epoch 23: head: Default, loss=0.66874482, RMSE_E_per_atom=  176.56 meV, RMSE_F=  256.02 meV / A
2025-10-06 16:38:50.969 INFO: Epoch 24: head: Default, loss=0.65699183, RMSE_E_per_atom=  160.10 meV, RMSE_F=  253.78 meV / A
2025-10-06 16:38:53.556 INFO: Epoch 25: head: Default, loss=0.64514794, RMSE_E_per_atom=  157.20 meV, RMSE_F=  251.49 meV / A
2025-10-06 16:38:56.345 INFO: Epoch 26: head: Default, loss=0.63846669, RMSE_E_per_atom=  150.43 meV, RMSE_F=  250.24 meV / A
2025-10-06 16:38:59.021 INFO: Epoch 27: head: Default, loss=0.62777229, RMSE_E_per_atom=  139.47 meV, RMSE_F=  248.07 meV / A
2025-10-06 16:39:01.684 INFO: Epoch 28: head: Default, loss=0.62567117, RMSE_E_per_atom=  140.47 meV, RMSE_F=  247.63 meV / A
2025-10-06 16:39:04.324 INFO: Epoch 29: head: Default, loss=0.62359918, RMSE_E_per_atom=  133.84 meV, RMSE_F=  247.27 meV / A
2025-10-06 16:39:07.011 INFO: Epoch 30: head: Default, loss=0.61867561, RMSE_E_per_atom=  134.02 meV, RMSE_F=  246.29 meV / A
2025-10-06 16:39:09.562 INFO: Epoch 31: head: Default, loss=0.62861639, RMSE_E_per_atom=  134.84 meV, RMSE_F=  248.27 meV / A
2025-10-06 16:39:12.152 INFO: Epoch 32: head: Default, loss=0.61916388, RMSE_E_per_atom=  126.48 meV, RMSE_F=  246.43 meV / A
2025-10-06 16:39:14.734 INFO: Epoch 33: head: Default, loss=0.61311652, RMSE_E_per_atom=  131.07 meV, RMSE_F=  245.21 meV / A
2025-10-06 16:39:17.371 INFO: Epoch 34: head: Default, loss=0.60610620, RMSE_E_per_atom=  122.28 meV, RMSE_F=  243.81 meV / A
