step pe pxx pyy pzz pxy pxz pyz
0 -927.37756964839172724 3197.051443248580199 -5558.2582604808358155 8397.6422602387447114 -21184.588964382888662 10397.950826655018318 9325.4936402019357047
1 -927.71670263380781307 27107.614062990844104 2075.7586941140880299 25338.618161312257143 -9043.0030428119462158 7503.2188204025951563 -12321.220935596053096
2 -930.47329407289146275 34814.957377393460774 3678.9459635547314065 22345.183592791567207 452.60419136947814422 -6375.2270623277054256 21762.846107416407904
3 -929.7201008332725678 -11828.354883867386889 -4798.5220511723173331 -13879.944439883816813 -18548.363802792926435 14028.629275140983736 1992.9000917629168725
4 -924.03812457088690735 2459.417713997946521 32201.073028955870541 21402.481975311620772 -8092.2499244928385451 -13706.230559671737865 -1268.7980155716966237
5 -925.58983621561083055 14621.150813393922363 39394.572374219431367 -10560.160850325257343 23193.293134205734532 17046.878956300050049 8569.8193331944185047
6 -922.35342129687785473 13911.540172311249989 21776.735814098588889 3753.5439784845279974 24136.338103621921618 -14184.942052310376312 -1724.3689585013421492
7 -931.55153677345833785 4631.0058801238346859 -19299.72490105889301 2012.0720426167836195 111.86524273789959238 -31306.210039682435308 -12481.14790550696307
8 -928.25102890986897819 -23200.958432209044986 -28064.908678760402836 -28741.948740449992329 11449.349691099772826 -22035.469636099649506 -27581.667963165891706
9 -927.35650162067076963 18324.927814810500422 30117.382917958093458 22564.828613772071549 -2602.9334557247752855 -24175.332069981886889 -22144.906004409003799
10 -925.88841664566371037 -4226.2745496957550131 -10784.425316130938882 -9252.0841567901825329 -7808.0510701695629905 -2397.9351578376376892 29973.225348831445444
11 -925.47156164175316917 -1709.8191573096216871 36549.221658143447712 20658.048425970817334 -1721.2308863258688234 -17364.056545932631707 31712.662472839041584
12 -927.75050629511724765 -36211.743150142407103 -25502.755266590473184 -25012.770786649940419 -3831.1663827797542581 2002.2487669895160707 -18825.484761075978895
13 -926.99401361976333646 52010.66822747245169 -4295.6919557165929291 -48427.872261760821857 2073.9267529680832922 -12832.44334106691349 9430.0152322669564455
14 -928.12514731967155512 40804.185090551465692 7397.4057283250858745 -15165.858109883181896 -10597.458547877607998 -22829.619550835159316 8661.0469632709773578
15 -924.05595340411889538 30566.445298161343089 30654.034689156116656 14678.703590581471872 3374.2887979956376512 -4896.6488210735824396 2199.0759182392553157
16 -933.96894176182115643 -23998.19116151272101 -3080.4793388483844865 -17373.575254868937918 2383.2665619749336656 -15478.859385685638699 18417.875357800752681
17 -924.07332319495083084 -21395.51522328088322 22264.155095897440333 513.30337554528910005 -19282.179568486506469 -4524.5710452396597248 24182.884373091557791
18 -930.95328249330236758 -2404.5087722853672858 -5948.2881404261243006 -10252.995713558086209 -10834.426004918381295 -2428.0904380885594946 17495.960578776677721
