LAMMPS (2 Aug 2023 - Development - patch_2Aug2023-219-g06e2d5d306)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (10.956 10.956 10.629)
  2 by 3 by 1 MPI processor grid
  reading atoms ...
  108 atoms
  read_data CPU = 0.007 seconds
ACE version: 2022.6.27
Recursive evaluator is used
Loading Siviraman_GAP_HfO2_N3_rcut5_maxdeg10_regQR.yace
Total number of basis functions
	O: 20 (r=1) 1166 (r>1)
	Hf: 20 (r=1) 1166 (r>1)
Mapping LAMMPS atom type #1(Hf) -> ACE species type #1
Mapping LAMMPS atom type #2(O) -> ACE species type #0
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7
  ghost atom cutoff = 7
  binsize = 3.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair pace, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.12 | 3.121 | 3.121 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press     
         0   2000          -1063.1311      27.661671     -1035.4694      29976.049    
      1000   2313.0038     -1065.0191      31.990775     -1033.0284      44984.122    
      2000   2151.7298     -1064.9044      29.760221     -1035.1442      25798.553    
      3000   2163.7053     -1065.7127      29.925852     -1035.7869      17269.308    
      4000   1919.4619     -1061.9532      26.547762     -1035.4055      16082.281    
      5000   2013.1934     -1066.5953      27.844146     -1038.7511      23409.599    
      6000   1975.5785     -1061.1227      27.323901     -1033.7988      25837.483    
      7000   1850.7583     -1067.1102      25.597533     -1041.5126      13047.049    
      8000   1625.6325     -1060.8289      22.483856     -1038.345       13524.68     
      9000   2126.0005     -1061.4999      29.404364     -1032.0956      26545.174    
     10000   2088.9756     -1063.166       28.892278     -1034.2737      52565.686    
     11000   1962.3259     -1068.5823      27.140607     -1041.4417      28780.308    
     12000   2076.5895     -1061.4861      28.720968     -1032.7652      37443.655    
     13000   1666.0474     -1062.0084      23.042828     -1038.9655      20438.729    
     14000   2058.0158     -1068.3278      28.464079     -1039.8638      1107.7111    
     15000   2008.4606     -1060.8995      27.778689     -1033.1208      18625.416    
     16000   1954.8174     -1067.3585      27.036757     -1040.3218      34830.193    
     17000   1786.9474     -1062.4686      24.714976     -1037.7536      22141.043    
     18000   2206.5542     -1060.6789      30.518489     -1030.1605      52180.822    
     19000   1842.0485     -1062.5881      25.47707      -1037.1111      13296.347    
     20000   2162.0242     -1062.9645      29.902601     -1033.0619      8746.8644    
     21000   2002.8249     -1061.2214      27.700741     -1033.5207      27717.051    
     22000   1920.201      -1063.9537      26.557984     -1037.3957      14021.122    
     23000   2043.7562     -1062.7115      28.266855     -1034.4446      23332.971    
     24000   2130.5214     -1057.3961      29.466891     -1027.9292      23904.127    
     25000   2058.7904     -1064.8684      28.474791     -1036.3936     -16915.792    
     26000   1880.8071     -1062.2809      26.013134     -1036.2678      9061.4139    
     27000   1945.1487     -1063.3759      26.903031     -1036.4729      40576.816    
     28000   2552.7024     -1062.4242      35.306007     -1027.1182      35249.265    
     29000   1779.9411     -1061.8827      24.618073     -1037.2646      25464.415    
     30000   1971.0412     -1061.7746      27.261147     -1034.5135      46676.057    
     31000   2084.9314     -1059.0286      28.836343     -1030.1922      26972.474    
     32000   1869.5524     -1064.456       25.857472     -1038.5985      28839.264    
     33000   2074.2377     -1061.3589      28.688441     -1032.6704      21204.093    
     34000   1912.4544     -1062.1632      26.450842     -1035.7124      27444.058    
     35000   1991.2293     -1065.3686      27.540365     -1037.8283      21890.401    
     36000   2095.4119     -1060.0487      28.981298     -1031.0674      30481.104    
     37000   2156.7217     -1061.5888      29.829263     -1031.7595      42127.707    
     38000   1959.6596     -1064.1759      27.10373      -1037.0722      31828.207    
     39000   2020.9016     -1063.6892      27.950758     -1035.7384      34109.633    
     40000   1964.5        -1064.1068      27.170676     -1036.9362      18435.68     
     41000   1847.6521     -1064.21        25.554572     -1038.6555      26638.556    
     42000   2048.6238     -1065.2329      28.334178     -1036.8987      12314.309    
     43000   2273.1626     -1061.4413      31.439738     -1030.0015      48707.548    
     44000   2200.9655     -1063.8089      30.441192     -1033.3677      39218.54     
     45000   1915.9174     -1063.3971      26.498738     -1036.8983      32436.665    
     46000   1994.3646     -1058.7583      27.583729     -1031.1746      67118.748    
     47000   2288.7486     -1063.5347      31.655306     -1031.8794      24344.036    
     48000   2059.8969     -1065.3245      28.490095     -1036.8344      25496.715    
     49000   2040.9118     -1064.7953      28.227516     -1036.5678      16950.05     
     50000   1926.8278     -1067.1104      26.649638     -1040.4608      19457.673    
     51000   2158.1295     -1062.9555      29.848734     -1033.1068      41117.473    
     52000   2059.496      -1065.5763      28.484551     -1037.0918      33057.592    
     53000   2117.1472     -1062.2852      29.281914     -1033.0033      25691.67     
     54000   2015.3396     -1060.0714      27.873831     -1032.1976      29842.213    
     55000   1943.7186     -1064.7698      26.883252     -1037.8865      24611.471    
     56000   1984.9908     -1064.8433      27.454082     -1037.3892      9959.1488    
     57000   1900.7704     -1060.5284      26.289243     -1034.2392      40306.31     
     58000   1894.6163     -1062.3967      26.204127     -1036.1926      61673.787    
     59000   2092.431      -1059.4594      28.94007      -1030.5193      44049.952    
     60000   2257.2099     -1064.3618      31.219099     -1033.1427      22664.751    
     61000   2325.9286     -1062.9195      32.169535     -1030.75        23357.842    
     62000   2070.0659     -1066.4706      28.63074      -1037.8399      17337.542    
     63000   2156.5032     -1060.7539      29.826241     -1030.9277      31423.922    
     64000   1804.8639     -1062.4669      24.962776     -1037.5041      38243.085    
     65000   2155.4402     -1063.7308      29.811538     -1033.9193      3341.9251    
     66000   1863.5385     -1065.7231      25.774295     -1039.9488      23721.084    
     67000   2042.6731     -1065.4596      28.251875     -1037.2077      5677.5533    
     68000   2458.0209     -1065.0551      33.996483     -1031.0587      50885.217    
     69000   1997.7823     -1062.0477      27.630998     -1034.4167      18028.423    
     70000   1827.217      -1061.5908      25.271938     -1036.3188      13494.878    
     71000   1865.8192     -1060.8804      25.805838     -1035.0746      52910.409    
     72000   1925.5677     -1066.643       26.63221      -1040.0108      15891.56     
     73000   1953.0297     -1062.9779      27.012033     -1035.9658      45688.631    
     74000   2068.7938     -1065.9855      28.613146     -1037.3724      9882.737     
     75000   2285.3975     -1059.4445      31.608956     -1027.8355      30523.401    
     76000   2024.7005     -1064.9116      28.003299     -1036.9083      56251.68     
     77000   1944.1425     -1062.8951      26.889115     -1036.006       29413.831    
     78000   2013.4227     -1063.9333      27.847318     -1036.086       34059.303    
     79000   2060.0902     -1063.2814      28.492769     -1034.7887      37449.938    
     80000   1996.0363     -1062.0198      27.60685      -1034.4129      48106.734    
     81000   1873.1361     -1057.7865      25.907038     -1031.8795      18651.338    
     82000   2028.0294     -1060.8139      28.049341     -1032.7646      27592.907    
     83000   2121.226      -1062.9508      29.338328     -1033.6125      53073.462    
     84000   2226.1471     -1064.8845      30.789474     -1034.095       27584.394    
     85000   2100.6206     -1062.3217      29.053338     -1033.2683      41413.625    
     86000   1742.7948     -1065.0419      24.104308     -1040.9376      19828.547    
     87000   2193.0329     -1066.2201      30.331477     -1035.8887      34452.336    
     88000   1834.3515     -1061.8648      25.370615     -1036.4942      15258.338    
     89000   2029.2887     -1066.0202      28.066758     -1037.9534      30546.356    
     90000   2070.1121     -1064.2793      28.63138      -1035.6479      13995.336    
     91000   2176.3401     -1058.3772      30.100602     -1028.2766      42487.795    
     92000   2054.5486     -1064.8146      28.416123     -1036.3985      12934.885    
     93000   1992.1263     -1061.0244      27.552771     -1033.4716      21481.58     
     94000   1829.779      -1063.3514      25.307372     -1038.044       14438.163    
     95000   1723.5294     -1066.1193      23.837852     -1042.2814      19890.361    
     96000   2004.9331     -1063.5973      27.7299       -1035.8674      18354.465    
     97000   1763.7706     -1066.9811      24.394421     -1042.5867      24473.659    
     98000   1975.6358     -1063.3893      27.324694     -1036.0646      19649.295    
     99000   1819.4247     -1061.9469      25.164164     -1036.7827      19219.422    
    100000   2365.1874     -1063.0615      32.712518     -1030.349       30249.064    
    101000   1744.4979     -1062.5984      24.127864     -1038.4705      13222.22     
    102000   2009.7291     -1064.5809      27.796232     -1036.7847      12462.555    
    103000   2221.8576     -1063.1514      30.730147     -1032.4213      45463.631    
    104000   1867.1451     -1061.0378      25.824177     -1035.2136      8092.8195    
    105000   2060.6481     -1060.1908      28.500485     -1031.6903      50089.342    
    106000   1998.7793     -1064.6433      27.644788     -1036.9985      21718.822    
    107000   1952.1176     -1061.1284      26.999418     -1034.129       55605.488    
    108000   1937.4637     -1066.011       26.796742     -1039.2143      33736.459    
    109000   2241.3745     -1063.6939      31.000081     -1032.6938      48805.081    
    110000   1827.7979     -1065.4549      25.279973     -1040.175       14884.907    
    111000   2240.8773     -1064.3072      30.993205     -1033.314       22946.426    
    112000   1898.0817     -1065.3866      26.252056     -1039.1345      9667.8245    
    113000   1783.0911     -1064.0165      24.66164      -1039.3548      18796.636    
    114000   1995.0128     -1057.5355      27.592695     -1029.9428      44855.837    
    115000   1932.3919     -1065.4457      26.726595     -1038.7191      14624.583    
    116000   2203.8111     -1062.294       30.480548     -1031.8135      31778.664    
    117000   2040.3254     -1061.3794      28.219405     -1033.16        32406.359    
    118000   2001.0701     -1064.6616      27.676472     -1036.9851      33395.424    
    119000   2193.1079     -1062.1632      30.332515     -1031.8307      43540.925    
    120000   2180.6176     -1066.8801      30.159763     -1036.7203      32951.741    
    121000   2049.3595     -1064.7086      28.344354     -1036.3642      33611.751    
    122000   1762.9107     -1064.4072      24.382528     -1040.0247     -8463.2514    
    123000   2128.9506     -1063.604       29.445166     -1034.1588      36749.883    
    124000   1935.5252     -1066.6491      26.769931     -1039.8792      702.56751    
    125000   2061.9635     -1064.0056      28.518678     -1035.4869      35452.145    
    126000   1753.7482     -1061.6179      24.255803     -1037.3621      48213.02     
    127000   2056.2399     -1059.5706      28.439516     -1031.1311      45035.571    
    128000   1795.5296     -1061.7214      24.833674     -1036.8878      21084.928    
    129000   1839.1957     -1064.1855      25.437614     -1038.7479      40715.022    
    130000   2010.3159     -1061.6155      27.804348     -1033.8111      23811.072    
    131000   2277.9759     -1064.3919      31.50631      -1032.8856      27084.167    
    132000   2227.0175     -1069.4839      30.801513     -1038.6824      42188.949    
    133000   2025.4962     -1063.6634      28.014305     -1035.6491      33787.952    
    134000   1985.4505     -1059.762       27.460439     -1032.3016      28705.732    
    135000   1639.6238     -1063.8554      22.677367     -1041.178       6824.65      
    136000   2035.6906     -1059.1402      28.155302     -1030.9849      22897.341    
    137000   1991.8288     -1064.2751      27.548657     -1036.7265      27052.341    
    138000   2048.8398     -1066.5577      28.337167     -1038.2206      1468.7962    
    139000   1868.829      -1061.7903      25.847466     -1035.9429      21005.512    
    140000   1894.3546     -1062.8453      26.200507     -1036.6448      24197.934    
    141000   2106.5926     -1066.8216      29.135935     -1037.6856      31374.486    
    142000   1894.1216     -1063.208       26.197284     -1037.0107      17030.973    
    143000   2070.117      -1063.9012      28.631447     -1035.2698      20838.645    
    144000   1858.8765     -1063.1521      25.709815     -1037.4423      13558.101    
    145000   1979.0971     -1064.5543      27.372567     -1037.1818      13666.065    
    146000   2066.5816     -1062.1058      28.582551     -1033.5232      58151.184    
    147000   1949.3326     -1065.9222      26.960899     -1038.9613      27170.022    
    148000   1868.6683     -1060.8643      25.845244     -1035.0191      17310.409    
    149000   2098.1067     -1063.3858      29.018569     -1034.3672      19715.958    
    150000   1986.5361     -1068.7878      27.475455     -1041.3123     -7877.5306    
    151000   1944.2326     -1063.6749      26.890362     -1036.7846      7843.7977    
    152000   2133.7686     -1064.5681      29.511803     -1035.0563      10835.751    
    153000   1914.9313     -1060.3457      26.485099     -1033.8606      30785.249    
    154000   1760.638      -1064.3343      24.351095     -1039.9832      15179.069    
    155000   2011.7176     -1062.7849      27.823735     -1034.9612      39270.544    
    156000   2097.1043     -1067.8816      29.004705     -1038.8769      19719.039    
    157000   2253.4743     -1066.2994      31.167433     -1035.132       32467.106    
    158000   1980.6701     -1068.3251      27.394323     -1040.9308      1052.6199    
    159000   2017.3768     -1058.4915      27.902007     -1030.5895      72457.908    
    160000   1946.542      -1061.3717      26.922302     -1034.4494      21482.021    
    161000   2039.3706     -1062.9942      28.206199     -1034.788       9307.9057    
    162000   2167.0784     -1063.5086      29.972505     -1033.5361      34724.053    
    163000   1979.5813     -1066.0087      27.379264     -1038.6295      11809.738    
    164000   2102.237      -1062.4704      29.075694     -1033.3947      40276.292    
    165000   1886.7993     -1065.6985      26.09601      -1039.6025      2686.4335    
    166000   1982.0251     -1063.7518      27.413063     -1036.3387      20392.866    
    167000   2067.166      -1063.4559      28.590632     -1034.8653      21841.698    
    168000   1976.0492     -1059.2006      27.330412     -1031.8702      51193.597    
    169000   2051.8351     -1065.0367      28.378593     -1036.6581      10323.762    
    170000   1684.4664     -1067.7523      23.297578     -1044.4547      19657.193    
    171000   1948.8661     -1060.5335      26.954447     -1033.5791      8950.6499    
    172000   1855.7171     -1061.8379      25.666118     -1036.1718      44938.065    
    173000   2473.1024     -1066.1425      34.205072     -1031.9374      17485.973    
    174000   1979.8061     -1060.7384      27.382373     -1033.3561      38416.909    
    175000   2126.4381     -1063.9879      29.410416     -1034.5774      32963.171    
    176000   2114.5131     -1063.6033      29.245483     -1034.3578      36737.452    
    177000   1970.6389     -1061.3016      27.255582     -1034.046       28154.35     
    178000   2065.6965     -1064.7569      28.570308     -1036.1866      31082.603    
    179000   1880.124      -1067.1911      26.003686     -1041.1874      9651.0283    
    180000   2068.3114     -1063.9861      28.606475     -1035.3796      15648.918    
    181000   2102.8657     -1068.0727      29.08439      -1038.9883      12869.513    
    182000   1926.494      -1062.0905      26.645021     -1035.4455      37211.61     
    183000   2059.7204     -1059.9951      28.487655     -1031.5075      21386.593    
    184000   1941.7194     -1066.2535      26.855601     -1039.3979      28854.519    
    185000   2059.5688     -1066.6487      28.485557     -1038.1631      14714.575    
    186000   2109.2004     -1060.9202      29.172004     -1031.7482      16361.222    
    187000   1836.088      -1061.1095      25.394631     -1035.7149      36458.57     
    188000   2164.4031     -1060.6898      29.935504     -1030.7543      54164.162    
    189000   1816.5934     -1061.1581      25.125005     -1036.0331      33153.827    
    190000   1918.6377     -1067.0061      26.536363     -1040.4697      9035.5457    
    191000   1984.6233     -1062.9779      27.448998     -1035.5289      22740.288    
    192000   2231.468      -1062.9671      30.863068     -1032.1041      36134.86     
    193000   2119.1081     -1062.3786      29.309035     -1033.0695      31114.255    
    194000   1771.0292     -1062.2586      24.494813     -1037.7638      26809.086    
    195000   2062.3942     -1064.1187      28.524635     -1035.5941      38273.729    
    196000   1962.2923     -1061.7947      27.140142     -1034.6545      40091.336    
    197000   1825.5441     -1060.5338      25.2488       -1035.285       42026.911    
    198000   1993.8581     -1061.3488      27.576724     -1033.7721      46327.13     
    199000   2152.837      -1062.3851      29.775534     -1032.6096      31521.534    
    200000   1970.7888     -1060.9865      27.257655     -1033.7288      27181.797    
    201000   1983.9207     -1060.9189      27.439281     -1033.4797      48667.128    
    202000   1835.253      -1063.2622      25.383082     -1037.8791      39752.077    
    203000   2249.1225     -1064.1178      31.107244     -1033.0106      34793.128    
    204000   1823.149      -1062.7621      25.215674     -1037.5465      32741.249    
    205000   2071.6907     -1062.8729      28.653214     -1034.2197      24838.067    
    206000   2021.1557     -1060.5915      27.954272     -1032.6372      17494.208    
    207000   1965.7295     -1063.3188      27.187682     -1036.1312      48833.28     
    208000   2028.5096     -1063.5307      28.055983     -1035.4747      33386.19     
    209000   2248.3931     -1064.8192      31.097155     -1033.722       52759.66     
    210000   2020.1874     -1068.6089      27.940879     -1040.668       3240.4194    
    211000   1895.0063     -1065.0866      26.20952      -1038.877       50621.379    
    212000   1988.1049     -1063.0763      27.497152     -1035.5792      23240.404    
    213000   1884.6168     -1069.4132      26.065825     -1043.3473      4625.688     
    214000   1907.947      -1063.1767      26.388501     -1036.7882      19111.091    
    215000   2153.3308     -1062.858       29.782364     -1033.0757      28640.844    
    216000   1922.0157     -1059.388       26.583082     -1032.8049      19658.498    
    217000   2164.5908     -1063.9563      29.938099     -1034.0182      42508.909    
    218000   1909.2924     -1066.4505      26.407109     -1040.0434      9961.6388    
    219000   2169.1411     -1062.5588      30.001033     -1032.5578      26273.217    
    220000   1937.8407     -1062.7994      26.801955     -1035.9975      4714.0219    
    221000   1897.4705     -1067.0714      26.243602     -1040.8278      18869.113    
    222000   2015.4606     -1061.7976      27.875505     -1033.9221      34275.376    
    223000   1955.4445     -1067.2258      27.045431     -1040.1804      28186.649    
    224000   1797.7094     -1064.3763      24.863823     -1039.5125      25924.952    
    225000   2282.6379     -1065.4815      31.57079      -1033.9107      22340.156    
    226000   2166.5915     -1063.5846      29.965771     -1033.6188      53448.447    
    227000   1969.2905     -1067.3806      27.236932     -1040.1436      1395.7157    
    228000   1857.3596     -1064.2534      25.688835     -1038.5646      23549.724    
    229000   2162.6909     -1064.2937      29.911822     -1034.3819      10297.014    
    230000   2138.4248     -1067.2767      29.576201     -1037.7005      19882.188    
    231000   2308.7756     -1062.8238      31.932296     -1030.8915      44705.223    
    232000   1852.8188     -1062.5751      25.626033     -1036.9491     -14508.3      
    233000   2180.4815     -1063.1506      30.15788      -1032.9928      22192.975    
    234000   2011.5707     -1064.5801      27.821703     -1036.7584      37455.803    
    235000   1814.8094     -1065.8622      25.10033      -1040.7619      28401.481    
    236000   1883.3127     -1060.4773      26.047789     -1034.4295      58800.602    
    237000   1881.8824     -1063.922       26.028006     -1037.894       23916.366    
    238000   1897.2801     -1058.4598      26.240968     -1032.2189      40862.574    
    239000   1674.5133     -1060.4788      23.159917     -1037.3189      29333.425    
    240000   2167.9282     -1062.2094      29.984258     -1032.2251      46330.735    
    241000   2020.932      -1063.5115      27.951178     -1035.5604      40922.727    
    242000   1840.1095     -1066.3412      25.450252     -1040.8909      2004.1419    
    243000   2060.0801     -1067.5496      28.492629     -1039.057       14524.445    
    244000   2130.8704     -1064.8848      29.471718     -1035.4131      16003.586    
    245000   2233.0296     -1066.7164      30.884665     -1035.8317     -10028.729    
    246000   2039.9286     -1061.5209      28.213916     -1033.307       31668.051    
    247000   1745.6796     -1064.1596      24.144207     -1040.0154      23374.839    
    248000   2229.8579     -1063.3748      30.840798     -1032.534       33475.506    
    249000   1935.4462     -1065.4227      26.768838     -1038.6539      28987.196    
    250000   2221.0723     -1064.9139      30.719286     -1034.1946      6324.197     
    251000   1981.7058     -1061.0816      27.408647     -1033.673       30347.982    
    252000   1848.8018     -1058.1422      25.570474     -1032.5717      18681.252    
    253000   2066.5753     -1062.9728      28.582463     -1034.3904      46334.405    
    254000   2259.7057     -1065.8174      31.253618     -1034.5638      15163.781    
    255000   1972.0041     -1066.8044      27.274464     -1039.5299      47265.126    
    256000   1898.1577     -1065.9171      26.253107     -1039.664       26857.176    
