LAMMPS (29 Aug 2024)
Running on 7 partitions of processors
Reading NEB coordinate file(s) ...
Setting up regular NEB ...
    Step     MaxReplicaForce  MaxAtomForce      GradV0         GradV1         GradVc          EBF            EBR            RDT            RD1            PE1            RD2            PE2            RD3            PE3            RD4            PE4            RD5            PE5            RD6            PE6            RD7            PE7       
         0   1.5906014        0.64553385     3.4407571e-05  3.3180293e-05  1.0613083      2.1784556      1.4205895      2.7329632      0              -713.49497     0.12637185     -713.2536      0.25166192     -712.40421     0.37741451     -711.54467     0.50370628     -711.31651     0.6998097      -711.9855      1              -712.7371      
        10   0.32719467       0.053516899    2.1967764e-06  1.6420525e-06  0.84861106     2.0511059      1.2932398      2.6427136      0              -713.49497     0.14868729     -713.21769     0.29729196     -712.21728     0.44524539     -711.44386     0.59635256     -711.6431      0.7791158      -712.361       1              -712.7371      
        20   0.22497049       0.024229612    4.5196473e-07  2.4847246e-07  0.3078488      2.0636406      1.3057745      2.6268116      0              -713.49497     0.15881565     -713.17651     0.31922095     -712.10142     0.47821701     -711.43132     0.63864909     -711.84055     0.81011977     -712.47339     1              -712.7371      
        30   0.19066242       0.015492265    1.0789977e-07  4.7509471e-08  0.1879571      2.0377217      1.2798556      2.6552188      0              -713.49497     0.16250091     -713.15971     0.32790105     -712.06432     0.4909436      -711.45724     0.65435392     -711.94383     0.82214573     -712.52538     1              -712.7371      
        40   0.1483717        0.0094743514   4.7943263e-08  1.7261606e-08  0.20239588     2.0223036      1.2644375      2.6895873      0              -713.49497     0.16337561     -713.15103     0.32943181     -712.05418     0.49369072     -711.47266     0.65816195     -711.9839      0.82564516     -712.5445      1              -712.7371      
        50   0.15931075       0.0055066694   2.4222374e-08  6.3983223e-09  0.23459758     2.0128975      1.2550314      2.7228162      0              -713.49497     0.16379025     -713.1434      0.32981458     -712.04454     0.49488973     -711.48207     0.66022478     -712.00951     0.82769103     -712.55632     1              -712.7371      
        60   0.10312159       0.0032573353   1.1598047e-08  1.8363296e-09  0.28418134     2.0068755      1.2490094      2.7530039      0              -713.49497     0.16435072     -713.13447     0.33026106     -712.03129     0.4960398      -711.48809     0.66199696     -712.02925     0.82947128     -712.56535     1              -712.7371      
        70   0.040806736      0.00063699109  7.7919157e-09  8.8558954e-10  0.31088849     2.0049084      1.2470423      2.7638359      0              -713.49497     0.16472882     -713.12993     0.33067305     -712.02396     0.49672429     -711.49006     0.66295152     -712.03716     0.83030824     -712.5688      1              -712.7371      
        80   0.037736091      0.00049163321  4.6977459e-09  3.4248299e-10  0.33942185     2.0031428      1.2452766      2.772423       0              -713.49497     0.16520152     -713.12504     0.33126807     -712.01582     0.49756417     -711.49182     0.66402161     -712.04452     0.83120816     -712.572       1              -712.7371      
        90   0.012840411      9.597158e-05   3.0037403e-09  1.4785521e-10  0.35856846     2.002032       1.2441658      2.7766129      0              -713.49497     0.16556133     -713.12168     0.33176144     -712.01014     0.49820103     -711.49293     0.66478299     -712.04913     0.8318313      -712.57396     1              -712.7371      
        98   0.0095889581     4.1116437e-05  1.9734791e-09  6.7178943e-11  0.37184103     2.0012669      1.2434008      2.7788051      0              -713.49497     0.16583271     -713.11927     0.33214878     -712.00608     0.49867803     -711.4937      0.66532847     -712.05217     0.83227336     -712.57524     1              -712.7371      
Setting up climbing ...
Climbing replica = 4
    Step     MaxReplicaForce  MaxAtomForce      GradV0         GradV1         GradVc          EBF            EBR            RDT            RD1            PE1            RD2            PE2            RD3            PE3            RD4            PE4            RD5            PE5            RD6            PE6            RD7            PE7       
        98   0.37184103       0.062109878    1.973481e-09   6.7171611e-11  0.37184103     2.0012669      1.2434008      2.7788051      0              -713.49497     0.16583271     -713.11927     0.33214878     -712.00608     0.49867803     -711.4937      0.66532847     -712.05217     0.83227336     -712.57524     1              -712.7371      
       108   0.059782185      0.0015346535   1.2670465e-09  3.0398862e-11  0.017525673    2.0117198      1.2538537      2.7791594      0              -713.49497     0.1645502      -713.12834     0.32949038     -712.02924     0.47928907     -711.48325     0.66265231     -712.03789     0.83088006     -712.57185     1              -712.7371      
       118   0.032046734      0.0005878526   8.8746819e-10  1.7290858e-11  0.0057956796   2.0116948      1.2538287      2.7793696      0              -713.49497     0.16336163     -713.13681     0.32667481     -712.05037     0.4802039      -711.48327     0.65977311     -712.02495     0.82956838     -712.56874     1              -712.7371      
       128   0.025416872      0.00032463853  5.8966361e-10  9.2754348e-12  0.0030926409   2.0116872      1.2538211      2.7801526      0              -713.49497     0.16240175     -713.14343     0.32449329     -712.0663      0.48045529     -711.48328     0.65756151     -712.01543     0.82860364     -712.56644     1              -712.7371      
       138   0.022010265      0.00019456174  3.9229405e-10  6.2495751e-12  0.0018866391   2.0116847      1.2538186      2.7807888      0              -713.49497     0.16173093     -713.14792     0.32307849     -712.07657     0.48056581     -711.48328     0.65616376     -712.0095      0.82798329     -712.56498     1              -712.7371      
       143   0.008631808      5.2231375e-05  3.5779533e-10  4.9788084e-12  0.0016984394   2.0116844      1.2538183      2.7809037      0              -713.49497     0.1616101      -713.14872     0.32283585     -712.07834     0.48058312     -711.48328     0.65592922     -712.00851     0.8278778      -712.56474     1              -712.7371      
