1

                                             * * * * * * * * *  L H S  * * * * * * * * *

                                             LATIN HYPERCUBE AND RANDOM SAMPLING PROGRAM

                                             * * * * * * * * * * * * * * * * * * * * * *


    Run on 11/19/25 at  9:23: 1.70 with LHS Version: 2.30 Release 1, Compiled May 31, 2001        


0    Pecos::LHSDriver                                                                                 RANDOM SAMPLE

    Random Seed =         123

    Number of Variables =   2

    Number of Observations =  200
0   The sample was written to the file: LHS_samples.out
0   Input was read from the file: 
0   The sample input vectors will be printed along with their corresponding ranks.
0   Histograms of the actual sample will be plotted for each input variable.
0   The correlation matrices (raw data and rank correlations) will be printed.
1

    Pecos::LHSDriver                                                                                 RANDOM SAMPLE               

    VARIABLE  DISTRIBUTION          RANGE            LABEL
0       1        UNIFORM    9.000E+04 TO  1.380E+05                                                    
0       2        UNIFORM    0.350     TO  0.370                                                        
1Pecos::LHSDriver                                                                                 RANDOM SAMPLE               
0RANDOM SAMPLE INPUT VECTORS

 RUN NO. X(1)      X(2)
0    1 9.063E+04 0.360    
0    2 1.165E+05 0.368    
0    3 1.371E+05 0.368    
0    4 9.262E+04 0.365    
0    5 9.652E+04 0.351    
0    6 1.316E+05 0.359    
0    7 1.305E+05 0.366    
0    8 1.213E+05 0.352    
0    9 1.033E+05 0.363    
0   10 9.989E+04 0.367    
0   11 1.326E+05 0.360    
0   12 9.571E+04 0.358    
0   13 1.079E+05 0.357    
0   14 1.196E+05 0.368    
0   15 1.225E+05 0.361    
0   16 1.371E+05 0.359    
0   17 1.019E+05 0.362    
0   18 1.302E+05 0.356    
0   19 9.174E+04 0.355    
0   20 1.333E+05 0.361    
0   21 1.093E+05 0.367    
0   22 1.194E+05 0.366    
0   23 1.337E+05 0.366    
0   24 1.317E+05 0.351    
0   25 9.186E+04 0.360    
0   26 1.367E+05 0.351    
0   27 1.218E+05 0.368    
0   28 1.124E+05 0.364    
0   29 1.157E+05 0.365    
0   30 9.801E+04 0.364    
0   31 9.249E+04 0.362    
0   32 1.150E+05 0.364    
0   33 1.270E+05 0.367    
0   34 1.280E+05 0.364    
0   35 1.333E+05 0.357    
0   36 9.034E+04 0.370    
0   37 1.239E+05 0.358    
0   38 1.035E+05 0.352    
0   39 1.344E+05 0.360    
0   40 1.144E+05 0.356    
0   41 1.051E+05 0.361    
0   42 1.038E+05 0.365    
0   43 9.116E+04 0.367    
0   44 1.127E+05 0.370    
0   45 1.194E+05 0.357    
0   46 1.337E+05 0.368    
0   47 1.306E+05 0.357    
0   48 1.351E+05 0.367    
0   49 1.034E+05 0.365    
0   50 1.261E+05 0.358    
0   51 9.892E+04 0.361    
0   52 1.129E+05 0.367    
0   53 1.151E+05 0.365    
0   54 1.097E+05 0.353    
0   55 1.079E+05 0.362    
0   56 1.374E+05 0.356    
0   57 1.113E+05 0.360    
0   58 1.379E+05 0.363    
0   59 1.324E+05 0.361    
0   60 1.358E+05 0.366    
0   61 1.132E+05 0.359    
0   62 9.668E+04 0.360    
0   63 1.007E+05 0.353    
0   64 1.269E+05 0.356    
0   65 1.080E+05 0.350    
0   66 1.179E+05 0.368    
0   67 9.629E+04 0.351    
0   68 1.077E+05 0.366    
